"";"RFAID";"Context";"Level";"Parts";"Lip";"Collar";"Rim";"MnBT";"Angle.fc";"Diameter";"Temper";"Slip";"Burnish";"JAS_decor";"Loc1"
"52";"MAR3_112";"";"-90";"LC";"R_RE_Reg";"Sh_Str";"Ev";NA;"5";16;"31";"yes_s";"yes_b";"Undecorated";""
"53";"MAR3_111";"";"-90";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;26;"31";"yes_s";"no_b";"Incision";"L"
"54";"MAR1_6";"";"-20";"LCU";"F_RE_Reg";"L_Str";"Ev";9;"4";38;"31";"yes_s";"no_b";"Various Impressions";"I"
"55";"MAR1_19";"";"-20";"LU";"F_RE_Ireg";"";"S";9;"2";12;"34";"no_s";"no_b";"Undecorated";""
"56";"MAR2_13";"";"-20";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;24;"31";"yes_s";"no_b";"Undecorated";""
"57";"MAR1_10";"";"-20";"LU";"F_RE_Reg";"";"S";8;"2";12;"31";"no_s";"no_b";"Undecorated";""
"58";"MAR1_5";"";"-10";"?";"C_RE_Reg";"L_C_Str";"Ev";NA;NA;26;"41";"no_s";"no_b";"Undecorated";""
"59";"MAR2_14";"";"-20";"LC";"R_RE_Reg";"Sh_Ev";"Ev";11;NA;16;"31";"yes_s";"no_b";"Undecorated";""
"60";"MAR1_14";"";"-20";"LC";"F_ShE_Reg";"Sh_Ev";"Ev";NA;NA;32;"31";"yes_s";"no_b";"Undecorated";""
"61";"MAR1_31";"";"-30";"LU";"F_ShE_Ireg";"";"S";11;"1";18;"34";"no_s";"no_b";"Undecorated";""
"62";"MAR1_40";"";"-30";"L";"FP_ShE_Reg";"";"S";NA;"1";16;"31";"no_s";"no_b";"Undecorated";""
"63";"MAR1_38";"";"-30";"LU";"F_RE_Ireg";"";"S";7;"1";16;"34";"yes_s";"no_b";"Undecorated";""
"64";"MAR1_37";"";"-30";"L";"R_RE_Ireg";"";"S";NA;"1";12;"31";"no_s";"no_b";"Undecorated";""
"65";"MAR1_24";"";"-30";"LU";"R_ShEi_Ireg";"";"S";8;"1";12;"33";"no_s";"no_b";"Undecorated";""
"66";"MAR1_36";"";"-30";"LU";"F_ShEi_Ireg";"";"S";8;"1";18;"31";"no_s";"no_b";"Undecorated";""
"67";"MAR1_37";"";"-30";"LU";"R_RE_Ireg";"";"S";5;"1";14;"31";"no_s";"no_b";"Undecorated";""
"68";"MAR1_23";"";"-30";"LU";"R_RE_Ireg";"";"S";7;"1";16;"41";"no_s";"no_b";"Undecorated";""
"69";"MAR1_16";"";"-20";"LCU";"R_RE_Reg";"Shv_Str";"Ev";11;"5";24;"31";"no_s";"no_b";"Undecorated";""
"70";"MAR1_9";"";"-20";"LU";"R_RE_Ireg";"";"S";6;"1";10;"31";"no_s";"no_b";"Mat";"U"
"71";"MAR1_20";"";"-20";"LU";"R_RE_Ireg";"";"S";5;"5";14;"31";"no_s";"no_b";"Undecorated";""
"72";"MAR1_17";"";"-20";"LC";"R_RE_Reg";"L_Ev";"Ev";NA;NA;20;"31";"yes_s";"no_b";"Undecorated";""
"73";"MAR2_9";"";"-20";"LC";"R_RE_Reg";"Sh_Ev";"Ev";NA;NA;18;"31";"yes_s";"no_b";"Undecorated";""
"74";"MAR2_12";"";"-20";"LC";"R_RE_Reg";"L_Str";"Ev";NA;NA;20;"31";"no_s";"no_b";"Undecorated";""
