"";"RFAID";"Context";"Level";"Parts";"Lip";"Collar";"Rim";"MnBT";"Angle.fc";"Diameter";"Temper";"Slip";"Burnish";"JAS_decor";"Loc1"
"117";"MAR3_43";"Pit1";"-30";"LU";"F_RE_ud";"";"S";7;NA;NA;"31";"no_s";"no_b";"Undecorated";""
"118";"MAR3_42";"Pit1";"-30";"LU";"R_RE_Reg";"";"S";6;"1";14;"21";"yes_s";"no_b";"Undecorated";""
"119";"MAR3_46";"Pit1";"-30";"LU";"F_RE_Ireg";"";"S";8;"2";12;"31";"no_s";"no_b";"Undecorated";""
"120";"MAR3_35";"Pit1";"-30";"LU";"R_RE_Reg";"";"S";8;"1";20;"31";"no_s";"no_b";"Undecorated";""
"121";"MAR3_14";"Pit1";"-30";"LU";"R_RE_Ireg";"";"S";7;"1";14;"31";"no_s";"no_b";"Undecorated";""
"122";"MAR3_44";"Pit1";"-30";"LU";"R_ShEi_Ireg";"";"S";6;"2";NA;"31";"yes_s";"no_b";"Undecorated";""
"123";"MAR3_48";"Pit1";"-30";"LU";"F_RE_Ireg";"";"S";8;"1";16;"31";"no_s";"no_b";"Undecorated";""
"124";"MAR3_16";"Pit1";"-30";"LU";"R_RE_Ireg";"";"S";10;"1";16;"31";"no_s";"no_b";"Undecorated";""
"125";"MAR3_41";"Pit1";"-30";"LU";"F_RE_Ireg";"";"S";7;"2";12;"31";"yes_s";"yes_b";"Undecorated";""
"126";"MAR3_29";"Pit1";"-30";"Bo";"";"";"Ev";7;NA;NA;"33";"no_s";"no_b";"Undecorated";""
"127";"MAR3_30";"Pit1";"-30";"Bo";"";"";"Ev";10;NA;NA;"31";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"128";"MAR3_28";"Pit1";"-30";"Bo";"";"";"Ev";4;NA;NA;"31";"yes_s";"yes_b";"Sgraffito";""
"129";"MAR3_26";"Pit1";"-30";"Bo";"";"";"Ev";4;NA;NA;"31";"yes_s";"yes_b";"Undecorated";""
"130";"MAR3_27";"Pit1";"-30";"Bo";"";"";"Ev";6;NA;NA;"31";"no_s";"no_b";"Undecorated";""
"131";"MAR_204";"";"";"NU";"";"";"Ev";6;"5";NA;"31";"no_s";"no_b";"Undecorated";""
"132";"MAR1_33";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"133";"MAR2_203";"";"-30";"U";"";"";"Ev";7;"5";NA;"31";"yes_s";"no_b";"Paint";"U"
"134";"MAR3_202";"";"-50";"Bo";"";"";"Ev";5;NA;NA;"32";"yes_s";"yes_b";"Paint";"Bo"
"135";"MAR1_58";"";"-30";"Bo";"";"";"Ev";7;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"136";"MAR3_25";"";"-30";"Bo";"";"";"Ev";11;NA;NA;"31";"no_s";"no_b";"Folded_strip_roulette";"Bo"
"137";"MAR2_23";"";"-30";"BoH";"";"";"Ev";8;NA;NA;"31";"yes_s";"yes_b";"Undecorated";""
"138";"MAR3_211";"";"-70";"Bo";"";"";"Ev";7;NA;NA;"31";"yes_s";"yes_b";"Mat";"Bo"
"139";"MAR1_26";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"31";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"140";"MAR1_32";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"141";"MAR1_34";"";"-30";"Bo";"";"";"Ev";7;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"142";"MAR1_42";"";"-30";"Bo";"";"";"Ev";9;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"143";"MAR1_39";"";"-30";"Bo";"";"";"Ev";12;NA;NA;"31";"yes_s";"no_b";"Mat";"Bo"
"144";"MAR2_214";"";"-30";"Bo";"";"";"Ev";5;NA;NA;"34";"yes_s";"no_b";"Undecorated";""
"145";"MAR2_19";"";"";"Bo";"";"";"Ev";5;NA;NA;"31";"yes_s";"no_b";"Undecorated";""
"146";"MAR2_41";"";"-50";"Bo";"";"";"Ev";4;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"147";"MAR2_40";"";"-50";"Bo";"";"";"Ev";13;NA;NA;"31";"yes_s";"no_b";"Incision";"Bo"
"148";"MAR2_39";"";"-50";"Bo";"";"";"Ev";6;NA;NA;"31";"yes_s";"yes_b";"Sgraffito";""
"149";"MAR2_45";"";"-50";"Bo";"";"";"Ev";8;NA;NA;"31";"yes_s";"no_b";"Undecorated";""
"150";"MAR2_37";"";"-50";"Bo";"";"";"Ev";8;NA;NA;"32";"yes_s";"no_b";"Mat";"Bo"
"151";"MAR2_38";"";"-50";"Bo";"";"";"Ev";12;NA;NA;"31";"yes_s";"no_b";"Incision";"Bo"
"152";"MAR2_34";"";"-50";"Bo";"";"";"Ev";5;NA;NA;"41";"no_s";"no_b";"Undecorated";""
"153";"MAR2_29";"";"-50";"Bo";"";"";"Ev";7;NA;NA;"31";"yes_s";"no_b";"Mat";"Bo"
