"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"67";258;"TIE_70";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"68";259;"TIE_70";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"69";260;"TIE_70";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"70";261;"TIE_71";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"71";262;"TIE_71";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"72";263;"TIE_71";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"73";341;"KAG3_1";1;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"74";342;"KAG3_1";2;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"75";343;"KAG3_1";3;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"76";344;"KAG5_5";1;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"77";345;"KAG5_5";2;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"78";346;"KAG5_5";3;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"79";347;"KAG2_4";1;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"80";348;"KAG2_4";2;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"81";349;"KAG2_4";3;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"82";353;"KAG4a_1";1;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"83";354;"KAG4a_1";2;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"84";355;"KAG4a_1";3;"pottery";"";"";"Karey_Gorou";"Niger_Niamey";NA
"85";356;"MAR2_214";1;"pottery";"";"";"Marandet";"Marandet";NA
"86";357;"MAR2_214";2;"pottery";"";"";"Marandet";"Marandet";NA
"87";359;"MAR3_13";1;"pottery";"";"";"Marandet";"Marandet";NA
"88";360;"MAR2_214";3;"pottery";"";"";"Marandet";"Marandet";NA
"89";361;"MAR3_13";2;"pottery";"";"";"Marandet";"Marandet";NA
"90";362;"MAR3_13";3;"pottery";"";"";"Marandet";"Marandet";NA
"91";363;"MAR3_1";1;"pottery";"";"";"Marandet";"Marandet";NA
"92";364;"MAR3_1";2;"pottery";"";"";"Marandet";"Marandet";NA
"93";365;"MAR3_1";3;"pottery";"";"";"Marandet";"Marandet";NA
"94";380;"MAR3_7";1;"pottery";"";"";"Marandet";"Marandet";NA
"95";381;"MAR3_7";2;"pottery";"";"";"Marandet";"Marandet";NA
"96";382;"MAR3_7";3;"pottery";"";"";"Marandet";"Marandet";NA
"97";383;"MAR3_47";1;"pottery";"";"";"Marandet";"Marandet";NA
"98";384;"MAR3_47";2;"pottery";"";"";"Marandet";"Marandet";NA
"99";385;"MAR3_47";3;"pottery";"";"";"Marandet";"Marandet";NA
"100";386;"MAR3_108";1;"pottery";"";"";"Marandet";"Marandet";NA
"101";387;"MAR3_108";2;"pottery";"";"";"Marandet";"Marandet";NA
"102";388;"MAR3_108";3;"pottery";"";"";"Marandet";"Marandet";NA
