Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1167;01.06.2007 00:05;TestAll Geo;300,09;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;117,98;3;206,13;3,22;<LOD;4,9;63,36;1,32;5,33;0,72;15,2;2,26;<LOD;1,73;14,17;2,94;<LOD;31,31;0,3;0,15;152,09;8;<LOD;34,02;36,85;8,78;43,06;8,1;<LOD;93,75;42988,84;208,71;619,87;40,3;197,88;14,08;130,03;19,06;4593,8;56,78;28,96;3,42;19410,26;167,67;30999,68;281;338,12;163,09;545,68;24,08;36,55;8,96;464,03;16,99;64,11;6,92;<LOD;0,76;<LOD;5,69;<LOD;3,68;48,11;6,16;265,05;22,63;178,53;19,2;636996,56;2244,12;13,57;1,28;21,08;1,64;<LOD;48,69;<LOD;1,5;<LOD;1,5;<LOD;1,5;75200,34;789,15;4366,77;185,71;167877,48;859,95;2529,18;39,68;<LOD;1735,07
1168;01.06.2007 01:42;TestAll Geo;300,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;116,95;2,99;209,63;3,24;<LOD;4,92;63,15;1,31;4,91;0,71;16,26;2,28;<LOD;1,72;12,04;2,92;<LOD;30,63;0,4;0,15;154,29;8,01;<LOD;34,44;31,33;8,67;47,35;8,16;<LOD;93,68;43291,41;209,15;671,66;41;195,7;14,07;142,99;19,17;4621,85;57;24,7;3,41;19647,55;168,54;31295,96;282,59;408,13;165,97;539,19;24,07;31,61;8,96;472,99;17,08;67,13;6,96;<LOD;0,77;<LOD;5,81;<LOD;3,6;45,09;6,11;262,76;22,63;147,2;18,89;626023,63;2328,44;13,21;1,27;20,57;1,63;<LOD;48,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;80362,96;826,32;4488,61;186,58;172779,81;862,08;2602,44;40,09;<LOD;1795,53
1169;01.06.2007 02:07;TestAll Geo;300,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;294,63;4,23;445,94;4,6;<LOD;4,51;35,29;1,04;6,11;0,73;23,21;2,43;<LOD;1,58;11,63;3,11;<LOD;28,25;0,37;0,15;45,74;5,6;<LOD;30,42;<LOD;11,89;<LOD;25,14;<LOD;81,98;30611,15;174,46;747,35;41,14;47,87;13;457,98;19,59;5320,46;52,64;<LOD;3,21;7226,96;83,79;20390,94;215,28;842,61;151,83;1024,07;23,67;54,4;8,14;473,05;15,32;62,08;6,19;<LOD;0,69;<LOD;4,88;<LOD;2,95;48,27;5,53;341,6;20,77;197,69;17,18;630971,25;1878,6;24,85;1,39;29,67;1,59;<LOD;48,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;38646,02;464,32;8543,07;187,58;244588,2;1011,05;2199,22;31,62;<LOD;1347,09
1170;01.06.2007 02:18;TestAll Geo;300,64;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;364,45;4,79;438,24;4,69;<LOD;4,81;42,1;1,16;7,65;0,8;21,18;2,47;<LOD;1,77;<LOD;7,39;<LOD;29,37;0,44;0,16;57,92;6,06;<LOD;32,71;<LOD;12,6;<LOD;26,58;<LOD;86,23;32892,42;185,9;782,18;43,04;91,53;13,01;68,28;23,82;7082,64;65,99;<LOD;3,12;7714,51;92,55;22382,17;221,72;322,72;134,22;1673,71;28,93;<LOD;12,47;400,58;15,59;40,67;6,32;<LOD;0,7;<LOD;5,27;<LOD;3,27;37,63;5,63;274,12;21,54;180,03;18,19;594740,5;2129,24;28,54;1,48;31,26;1,7;<LOD;53,04;<LOD;1,5;<LOD;1,5;<LOD;1,5;47066,52;567,38;3046,89;158,26;268825,91;1132,95;1067,43;29,01;<LOD;1586,29
1171;01.06.2007 02:31;TestAll Geo;300,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;385,11;4,94;453,06;4,77;5,08;3,34;46,22;1,2;7,72;0,81;26,87;2,61;<LOD;1,79;<LOD;8,27;<LOD;30,64;0,48;0,16;59,99;6,13;<LOD;35,23;<LOD;12,96;<LOD;26,83;<LOD;84,51;30622,91;179,77;973,06;46,24;64,41;12,25;62,58;23,74;7182,17;66,06;<LOD;2,94;7450,23;89,93;21230,7;209,86;508,07;133,31;1913,94;31,3;55,28;8,73;442,28;16,13;54,62;6,53;<LOD;0,73;<LOD;5,45;<LOD;3,44;40,44;5,76;347,49;23,33;228,15;19,6;600010,69;2115,93;30,08;1,5;29,66;1,71;<LOD;54,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;46068,8;554,55;4209,05;169,25;264667,34;1128,82;1178,77;29,48;<LOD;1565,77
1172;01.06.2007 02:42;TestAll Geo;300,31;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;354,37;4,91;456,85;4,95;7,47;3,42;41,91;1,19;7,34;0,83;28,33;2,73;<LOD;1,85;<LOD;8,14;<LOD;31,61;0,32;0,16;63,02;6,39;<LOD;35,46;<LOD;13,42;39,42;8,47;<LOD;92,18;37009,16;204,26;1274,73;52,75;100,42;13,87;747,63;25,11;6347,24;64,05;<LOD;3,7;10051,98;110,34;24495,48;243,79;706,77;159,1;2002,3;31,37;28,66;8,59;426,66;15,97;43,62;6,42;<LOD;0,72;<LOD;5,35;<LOD;3,34;41,86;5,78;311,57;22,46;196,63;18,83;629348,81;2070,63;27,75;1,52;30,89;1,76;<LOD;55,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;41432,98;524,75;8822,94;206,89;225242,83;1021,8;1525,92;31,18;<LOD;1584,21
1173;01.06.2007 02:49;TestAll Geo;300,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;359,08;4,99;467,26;5,05;<LOD;5,02;37,91;1,16;6,62;0,81;27,85;2,71;<LOD;1,77;6,61;3,4;<LOD;32,09;0,51;0,17;49,38;6,05;<LOD;36,51;30,79;8,99;41,76;8,45;<LOD;102,79;55324,04;251,18;635,08;44,54;187,4;17,45;426,21;24,32;6220,51;66,69;<LOD;4,42;8915,83;108,92;23723,62;282,95;442,52;187,86;2069,9;31,46;49,7;8,31;448,47;15,44;52,72;6,21;<LOD;0,69;<LOD;5,21;<LOD;3,17;40,52;5,5;331,05;22,42;210,69;18,79;616764,69;2017;27,95;1,55;37,3;1,83;<LOD;55,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;40662,88;515,64;5825,55;171,91;233806,98;1053,89;1451;28,99;<LOD;1520,93
1174;01.06.2007 02:54;TestAll Geo;300,39;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;357,93;5,62;428,52;5,49;<LOD;5,31;30,84;1,24;7,64;0,93;21,14;2,84;<LOD;2,27;11,26;3,8;<LOD;36,75;0,32;0,19;52,6;6,82;<LOD;42,26;<LOD;14,56;94,1;10,81;<LOD;146,39;151414,11;469,95;579,89;56,43;520,49;28,35;409,18;30,01;5832,58;77,16;<LOD;6,24;7865,95;120,63;13256,8;268,05;<LOD;413,94;2143,64;34,18;141,3;9,52;529,38;17,54;83,56;7,09;0,8;0,52;<LOD;5,64;<LOD;3,52;48,7;6,19;413,67;25,12;268,97;20,97;626740,56;2098,98;25,05;1,73;47,43;2,15;<LOD;66,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;37628,14;524,05;6558,62;174,25;174889,14;863,31;1709,4;29,41;<LOD;1663,77
1175;01.06.2007 03:01;TestAll Geo;300,34;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;342,52;4,8;475,2;5;<LOD;4,94;39,54;1,16;7,35;0,81;21,49;2,52;<LOD;1,79;5,04;3,14;<LOD;31,19;0,58;0,17;45,63;5,86;<LOD;35,73;30,58;8,8;38,61;8,25;<LOD;95,82;45198,59;222,95;922,41;47,47;133,76;15,27;497,45;23,58;6358,13;64,39;<LOD;3,86;8789,65;102,84;23079,99;254,27;<LOD;231,87;2002,47;30,85;47,76;8,31;438,81;15,39;49,67;6,19;<LOD;0,69;<LOD;5,16;<LOD;3,17;32,13;5,34;333,18;22,41;206,11;18,72;607169,69;2053,87;29,55;1,53;34,25;1,76;<LOD;54,68;<LOD;1,5;<LOD;1,5;<LOD;1,5;41561,66;521,38;4472,86;162,55;251536,38;1076,91;1070,18;27,44;<LOD;1553,74
1176;01.06.2007 03:09;TestAll Geo;300,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;343,32;4,63;442,85;4,7;<LOD;4,81;40,56;1,13;6,87;0,77;19,11;2,39;<LOD;1,62;6,88;2,99;<LOD;31,21;0,45;0,16;50,8;5,89;<LOD;34,66;<LOD;12,68;35,72;8,02;111;52,82;27275,4;169,42;1289,84;50,46;74,86;13,57;1160,04;27,7;8437,13;72,68;<LOD;3,54;9619,33;102,23;24820,04;232,14;1457,17;170,12;1861,8;29,78;30,64;8,25;433,38;15,38;42,96;6,15;<LOD;0,69;<LOD;5,19;<LOD;3,24;30,72;5,33;302,76;21,92;206,51;18,58;608781,06;2137,96;26,51;1,45;34;1,71;<LOD;51,29;<LOD;1,5;<LOD;1,5;<LOD;1,5;39475,7;516,79;11053,99;230,43;249643,05;1048,74;3014,5;39,99;<LOD;1661,64
