"";"Ag";"Al";"As";"Au";"Ba";"Bi";"Ca";"Cd";"Ce";"Co";"Cr";"Cu";"Fe";"Hf";"Hg";"La";"Mg";"Mn";"Mo";"Nb";"Ni";"P";"Pb";"Pd";"Rb";"Re";"S";"Sb";"Se";"Si";"Sn";"Sr";"Ta";"Th";"Ti";"U";"V";"W";"Y";"Zn"
"SNTK_3_1";0,00260060301817613;20,167174227657;0,446724203307018;0;0,0446350920875385;0;0,621816349415784;0;0,0364290655932301;0;0;51,00777182272;1,91621339661564;0;0;0,0278703800060525;0;0;0;0;0,0139743743466784;2,09777508409476;0,660366525400921;0,0102446435311578;0;0;0,148123006006712;0,0151303124844165;0;18,3884586929167;0,00170967478355909;0,00524245271388083;0;0;0,102176269573766;0;0,00860715043327366;0;0,00270681321281219;4,27424986008096
"SNTK_4_1";0,105106303272389;13,5474853971649;1,26767431387878;0;0,040881291972557;0;0,219921913388259;0;0,0333017415973792;0;0,01960358272273;69,1695565378863;0,820379474531603;0;0;0,0233416292816726;0;0;0;0;0,0111566634227766;2,35738437982683;0,783132771860696;0,0230124470993783;0,00796620881152358;0;0,199258677545382;0,13744871393851;0;9,04700692302525;0,00815640296129365;0,00185805054006151;0;0;0,035235033779108;0;0,00448314781600894;0;0;2,13664839367664
"SNTK_5_1";0,0383464688503198;13,9772960339868;0,277977312472838;0;0,0381297933976162;0;0,384472788848876;0;0,0348379541255545;0;0;64,7445265186645;1,01013587422635;0;0;0,0210073463557925;0;0;0;0;0;4,36124656378672;1,16008749456506;0,025416132327707;0;0;0,446983148326066;0,0427440650101228;0;9,33393904803548;0,00403545314965033;0,00156047016172513;0;0;0,0807131320155926;0;0,00671490452252126;0;0;4,00982949717074
"SNTK_6_1";0,0839860460705232;22,1664444393181;0,606788827628985;0;0,0301788327809689;0;0,240999023429991;0;0,0267739099453787;0;0;57,7384976200912;1,07898836574469;0;0;0,01614083113541;0;0;0;0;0,0152262899823397;1,84028953634712;1,06898685347092;0,0212702587013413;0,0128415111459703;0;0,25212628254913;0,103679438972064;0;12,294927218621;0,0108350570691109;0,00151329903804009;0;1,021724966102;0,0864354169390041;0;0,00463832306781394;0;0;1,27670765184895
"SNKa_1_1";0,0399544711324058;15,8934150260609;0,134803356887579;0;0,125320760748557;0;0,362345209462417;0;0,0557264342214273;0;0,0200237585421409;55,1555285335727;1,03172722670324;0;0;0,0318999280808732;0;0;0;0;0,0156627352324713;3,96742409982121;0,569038026356736;0,00476017695829736;0;0;0,125769808603263;0,0141928788912407;0;12,7860793870489;0,0141497271454431;0,0117008655714295;0;0;0,0690576266887722;0;0,00417223442180511;0;0,0144302134931275;9,55281751435507
"SNTK_1_1";0,0652037210476557;13,3040243400661;0,839551124674009;0;0,0340562614934508;0;0,165844702923292;0;0,0308947482105284;0;0,0182801529224499;69,0645820406563;2,03292958833857;0;0;0,0162479762251684;0;0;0;0;0;2,66303753603378;0,687819458989474;0,0185884397898394;0;0;0,157146609164804;0,0696130621271544;0;8,72825134456329;0,00218841732055028;0,00151417087248424;0;0;0,0419553260242152;0;0,00494517301567566;0;0;2,05332580554126
"SNTK_2_1";0,00849430037711038;19,3043601689926;0,888642603055117;0;0,0396369705780917;0;0,22278899768567;0;0,0291393948871478;0;0,0181637179228509;54,3211913474161;1,16290441752875;0;0;0,0287397724405223;0;0;0;0;0,0122065554045492;1,13560204675671;3,496048957653;0,0142180916475119;0;0;0,334052354278578;0,0838711482165888;0;15,5793089623326;0,00257637727217243;0,00352328627360815;0;0;0,138049419294373;0;0,00753499998198085;0;0,012287099463559;3,15665901054081
