"";"Ag";"As";"Au";"Bi";"Co";"Cu";"Fe";"Ni";"Pb";"S";"Sb";"Sn";"Zn"
"TIE_cuo4";0;0;0;0;0;0;99,7107470193903;0,0492305763533922;0;0,240022404256354;0;0;0
"TIE_cuo4_cu";0,020738767333813;0,0571938828284067;0;0;0;66,9401426926163;31,1196257664692;0;0,354262104279239;0,886159751939407;0,0721936606273281;0,00341575916886321;0,546267614737455
"TIE_cuo3";0,101814035297482;0,152985461149284;0;0;0;94,8114859523485;1,16125082407223;0,072972913573622;0,452396809729382;0,537708772779142;0,0727966414382486;0,0310388977095799;2,60554969190256
"TIE_cuo2";0,0397494258607483;0,24414460569707;0;0;0;83,3578240627998;1,53549285108575;0,0557134456481344;1,44083637564827;1,03117078121521;0,159833601809684;0,143951532842562;11,9912833173928
"TIE_cuo1";56,1749218367931;0,181407802917655;0;0;0;41,9609184403632;0,385258463440254;0,0777336785572685;0,776409793211891;0,417080818218244;0;0,0262691664984347;0
"TIE_cuo1_end";72,8870672965074;0,585898003240405;0;0;0;23,9687312760266;0,99851598338366;0;0,831618716935381;0,618022489401515;0;0,0543305179483682;0,0558157165566806
"TIE_cuo5";0,100943869936325;1,09358877083649;0;0;0;61,908987701026;0,599115914641044;0,106133081229756;28,2709860978546;6,24351882125125;0,553463272115385;0,433053392715915;0,690209078393229
