"";"Cu";"Zn";"Pb";"Sn";"As";"Sb";"Fe";"S";"Co";"Ni";"Bi";"Au";"Ag"
"SNTK_3_1";87,2123559499874;7,30805104587074;1,12908520432701;0,00292317739933228;0,763802629248209;0,0258695910617627;3,27631415468612;0,253258589085938;0;0,0238931846295242;0;0;0,00444647370393005
"SNTK_4_1";92,6727354145054;2,86266185836493;1,04923408206793;0,010927873639786;1,69841838175595;0,184152522257544;1,09913687159634;0,266964942779315;0;0,0149475950004299;0;0;0,140820458032338
"SNTK_5_1";90,2555630075711;5,58980717431271;1,61719230319535;0,00562552721591637;0,387507642570138;0,0595863443623872;1,40815582327506;0,623106197176927;0;0;0;0;0,0534559803204395
"SNTK_6_1";92,7737360293625;2,05140319823781;1,7176391532616;0,0174096792577955;0,974983223332594;0,166591257122001;1,73370949969989;0,405114406287187;0;0,0244654756488948;0;0;0,134948077789702
"SNKa_1_1";82,7494567330796;14,3320258295044;0,853723802371359;0,0212287374509342;0,202244540933964;0,0212934777157231;1,54789319903721;0,188691571127064;0;0,0234986929850949;0;0;0,0599434157946945
"SNTK_1_1";92,1200589113534;2,73877707765342;0,917430717892222;0,00291896550352022;1,11981419099207;0,0928516353053171;2,71157209537792;0,20960605952063;0;0;0;0;0,0869703464014827
"SNTK_2_1";85,5901388425504;4,97372896818154;5,50848220121202;0,00405941922417942;1,40017260097354;0,132149959208938;1,83230794627327;0,52634315769189;0;0,0192330239074248;0;0;0,0133838807767935
