Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Fundstelle;Schnitt Nummer;Art des Materials;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Ca;Ca Error;K;K Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;S;S Error;Mg;Mg Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ru;Ru Error;Sc;Sc Error
35;19.09.2023 11:09;TestAll Geo;300,64;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,17;1,96;203,02;2,23;<LOD;3,53;160,57;2,33;5,71;0,52;27,54;2,45;<LOD;1,5;11,72;2,05;<LOD;21,69;0,27;0,1;155,07;5,68;<LOD;24,87;34,69;6,22;116,9;11,67;<LOD;68,83;43371,75;148,93;639,04;28,87;264,33;18,56;168,14;15,25;735,93;25,56;<LOD;5,44;<LOD;3,07;888309,94;450,1;16,68;1,28;23,99;1,48;<LOD;38,85;<LOD;1,5;<LOD;1,5;<LOD;1,5;230,18;18,92;138,93;7,09;4629,75;44,53;26343,5;173,55;31367,81;232,18;;;;;;;;;;;;;;;;;;;;;;
36;19.09.2023 11:14;TestAll Geo;300,92;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,09;1,96;202,49;2,24;5,23;2,39;160,17;2,33;5,32;0,51;28,2;2,46;<LOD;1,5;11,74;2,07;<LOD;21,94;0,41;0,11;150,79;5,65;<LOD;25,3;38,68;6,3;123,17;11,73;<LOD;68,77;43205,52;149;631,98;28,84;263,18;18,41;169,09;15,14;720,33;25,29;<LOD;5,36;<LOD;3,04;888593,81;448,53;15,58;1,26;24,2;1,47;<LOD;38,1;<LOD;1,5;<LOD;1,5;<LOD;1,5;229,97;18,81;135,84;7,08;4620,68;44,71;26222,38;174,02;31425,1;233,61;;;;;;;;;;;;;;;;;;;;;;
37;19.09.2023 11:41;TestAll Geo;1,7;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;92,86;34,18;222,68;42,18;<LOD;60,88;166,24;41,63;<LOD;2196,54;<LOD;79,77;<LOD;20,05;<LOD;90,81;<LOD;369,01;<LOD;3,5;169,99;104,88;<LOD;404,34;<LOD;159,71;<LOD;324,07;<LOD;1233,79;43572,43;2701,23;<LOD;799,11;;;;;;;<LOD;132,35;<LOD;115,35;948970,88;5061,74;<LOD;28,8;<LOD;36,71;<LOD;541,79;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;1346,52;<LOD;1149,83;<LOD;5345,3;;;;;;;;;;;;;;;;;;;;;;;;;;
38;19.09.2023 11:47;TestAll Geo;300,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;107,09;1,96;196,41;2,21;<LOD;3,52;156,91;2,31;5,48;0,52;25,82;2,43;<LOD;1,5;11,64;2,04;<LOD;21,6;0,38;0,11;147,12;5,61;<LOD;25,27;33;6,22;114,01;11,68;<LOD;68,89;42677;148,54;622,93;28,8;262,19;18,42;171,06;15,18;742,01;25,41;<LOD;5,41;<LOD;3,03;891263,06;441,7;16,27;1,27;25,02;1,48;<LOD;37,99;<LOD;1,5;<LOD;1,5;<LOD;1,5;219,17;19,17;134,53;7,05;4536,66;44,05;25023,37;169,11;30547,49;229,6;;;;;;;;;;;;;;;;;;;;;;
39;19.09.2023 12:11;Mining;488,59;%;Final;;;;;;;Juan-Marco Puerta Schardt;Ifana;h;Keramik;;;;;;;;0,012;0,001;0,02;0,001;;;0,016;0,001;<LOD;0,019;0,002;0,001;<LOD;0,002;<LOD;0,002;<LOD;0,003;;;0,017;0,001;;;<LOD;0,002;0,005;0,001;<LOD;0,009;4,623;0,021;0,053;0,004;0,028;0,002;0,017;0,001;0,071;0,002;<LOD;0,002;<LOD;0,002;58,048;0,243;<LOD;0,002;0,002;0,001;<LOD;0,005;;;;;;;0,024;0,002;0,014;0,001;0,461;0,004;2,523;0,016;3,115;0,021;13,396;0,143;0,136;0,007;16,726;0,076;0,622;0,005;0,052;0,016;<LOD;0,214;;;;;;;;;;
40;19.09.2023 12:25;General Metals;302,46;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *5.50;No Match : *6.07;;;;<LOD;0,003;<LOD;0,002;;;;;;;;;<LOD;0,027;3,163;0,035;;;;;;;<LOD;0,055;72,623;0,113;0,698;0,022;<LOD;0,027;<LOD;0,023;0,472;0,025;<LOD;0,042;;;;;;;<LOD;0,01;16,186;0,053;;;0,002;0,001;;;0,69;0,015;;;;;;;0,088;0,008;<LOD;0,009;0,146;0,006;;;;;<LOD;0,229;5,914;0,037;<LOD;0,076;;;<LOD;0,002;<LOD;0,002;<LOD;0,014;<LOD;0,049;<LOD;0,011;0,004;0,002;;
41;19.09.2023 12:32;TestAll Geo;300,75;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;62,7;<LOD;60,42;<LOD;300000;22651,08;163,45;15098,85;1281,86;<LOD;136,32;30573,96;219,59;4405,47;72,3;543378,06;1514,09;<LOD;300000;9475,79;157,08;<LOD;300000;19110,43;221,87;1718,21;119,04;701,01;105,43;6453,33;236,58;1652,56;187,07;541,38;191,42;286,18;153,44;541,78;238,21;<LOD;96,33;305809,94;1018,68;<LOD;1,5;435,8;19,81;<LOD;51,6;<LOD;652,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;148,35;<LOD;27,19;1320,86;57,26;18302,45;279,29;17431,98;311,52;;;;;;;;;;;;;;;;;;;;;;
42;19.09.2023 12:35;General Metals;47,82;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *5.23;No Match : *5.36;;;;<LOD;0,005;<LOD;0,005;;;;;;;;;<LOD;0,054;3,262;0,074;;;;;;;<LOD;0,088;71,59;0,298;0,595;0,037;<LOD;0,038;<LOD;0,031;0,365;0,037;<LOD;0,059;;;;;;;<LOD;0,022;16,921;0,124;;;<LOD;0,004;;;0,709;0,032;;;;;;;0,081;0,023;<LOD;0,026;0,156;0,016;;;;;<LOD;0,676;6,302;0,107;<LOD;0,232;;;<LOD;0,002;<LOD;0,002;<LOD;0,03;<LOD;0,101;<LOD;0,022;<LOD;0,006;;
43;19.09.2023 12:37;General Metals;25,82;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;Ta : *2.42;NiWht : *2.42;;;;<LOD;0,079;<LOD;0,062;;;;;;;;;<LOD;0,113;<LOD;0,108;;;;;;;<LOD;0,222;<LOD;1,897;<LOD;0,424;<LOD;0,656;<LOD;0,226;<LOD;0,652;<LOD;0,292;;;;;;;<LOD;0,551;<LOD;0,467;;;<LOD;0,066;;;<LOD;0,126;;;;;;;<LOD;0,85;<LOD;0,576;<LOD;0,442;;;;;7,611;3,375;<LOD;0,801;3,682;0,951;;;<LOD;1,323;<LOD;0,002;<LOD;0,757;<LOD;0,557;<LOD;0,51;<LOD;0,146;;
44;19.09.2023 12:43;TestAll Geo;300,87;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;121,93;<LOD;38,99;<LOD;300000;<LOD;41,37;<LOD;5893,99;<LOD;195,52;<LOD;113,2;<LOD;106,95;<LOD;3318,28;<LOD;300000;299,9;171,03;<LOD;300000;<LOD;620,67;1638,67;719,26;<LOD;441,37;7821,24;748,35;650,1;357,41;<LOD;3723,04;<LOD;2863,09;<LOD;4191,76;<LOD;484,19;<LOD;276,78;338714,88;72416,36;<LOD;93,81;68,76;36,85;<LOD;1386,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;877,16;<LOD;160,3;812,55;201,72;7457,98;671,05;59059,12;3811,87;;;;;;;;;;;;;;;;;;;;;;
