Reading No;Time;Type;Duration;Units;Sequence;Alloy1;Alloy2;Flags;SAMPLE;HEAT;LOT;BATCH;MISC;NOTE;Res;EScale;Shape Time;User Login;LOCATION;INSPECTOR;Fundstelle;Schnitt Nummer;Art des Materials;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Pd;Pd Error;Ag;Ag Error;Ru;Ru Error;Mo;Mo Error;Nb;Nb Error;Zr;Zr Error;Bi;Bi Error;Se;Se Error;W;W Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Al;Al Error;LEC;LEC Error;Pb;Pb Error;Zn;Zn Error;Cu;Cu Error;S;S Error;P;P Error;Si;Si Error;Mg;Mg Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;As;As Error;Hg;Hg Error;Au;Au Error;Bal;Bal Error;Y;Y Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Cl;Cl Error;Sc;Sc Error;Cs;Cs Error;Te;Te Error
11;11.09.2023 10:21;General Metals;10,29;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,493;0,008;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,036;;;;;;;0,138;0,027;<LOD;0,144;97,777;0,094;0,337;0,03;1,048;0,025;<LOD;0,029;<LOD;0,044;<LOD;80;;;<LOD;0,002;<LOD;0,012;0,181;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;11.09.2023 10:21;General Metals;10,48;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,01;<LOD;0,012;<LOD;0,004;0,488;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,035;;;;;;;0,156;0,028;<LOD;0,143;97,728;0,093;0,349;0,03;1,059;0,024;<LOD;0,029;<LOD;0,045;<LOD;80;;;<LOD;0,002;<LOD;0,012;0,183;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;11.09.2023 10:22;General Metals;10,56;%;Final;1.7335 : *1.89;1.7357 : *2.27;;;;;;;;;;;;;;;;;<LOD;0,012;0,012;0,006;<LOD;0,01;<LOD;0,009;<LOD;0,015;<LOD;0,004;0,49;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,036;;;;;;;0,138;0,027;<LOD;0,143;97,678;0,093;0,352;0,03;1,078;0,025;<LOD;0,028;<LOD;0,046;<LOD;80;;;<LOD;0,002;<LOD;0,012;0,188;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;11.09.2023 10:22;General Metals;10,18;%;Final;1.7335 : 1.26;No Match : *2.27;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,009;<LOD;0,012;<LOD;0,004;0,488;0,008;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,035;;;;;;;0,154;0,028;<LOD;0,145;97,704;0,095;0,387;0,031;1,063;0,025;<LOD;0,029;<LOD;0,044;<LOD;80;;;<LOD;0,002;<LOD;0,012;0,174;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;11.09.2023 10:22;General Metals;10,29;%;Final;1.7335 : *1.89;No Match : *2.61;;;;;;;;;;;;;;;;;<LOD;0,012;<LOD;0,011;<LOD;0,01;<LOD;0,009;<LOD;0,012;<LOD;0,004;0,481;0,007;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,004;<LOD;0,036;;;;;;;0,113;0,027;<LOD;0,145;97,788;0,094;0,33;0,03;1,079;0,025;<LOD;0,029;<LOD;0,045;<LOD;80;;;<LOD;0,002;<LOD;0,014;0,167;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;11.09.2023 10:24;System Check;52,14;cps;Final;;;;;;;;;;189,57;7,58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;11.09.2023 10:26;System Check;53,93;cps;Final;;;;;;;;;;172,03;7,57;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;11.09.2023 10:29;General Metals;30,16;%;Final;1.7335 : *1.88;1.7357 : *2.27;;;;;;;;;;;;;;;;;<LOD;0,016;<LOD;0,015;<LOD;0,013;<LOD;0,013;<LOD;0,015;<LOD;0,005;0,484;0,01;<LOD;0,003;<LOD;0,002;<LOD;0,002;<LOD;0,007;<LOD;0,049;;;;;;;0,129;0,036;<LOD;0,193;97,088;0,3;0,346;0,041;1,077;0,019;<LOD;0,013;<LOD;0,013;<LOD;0,558;;;<LOD;0,006;<LOD;0,018;0,199;0,027;<LOD;0,037;<LOD;0,024;0,253;0,054;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19.09.2023 10:01;General Metals;0,84;%;Final;Pb : 0.00;NiWht : 0.00;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;2,096;<LOD;1,551;<LOD;1,51;<LOD;1,353;<LOD;1,176;<LOD;0,356;<LOD;0,283;<LOD;0,262;<LOD;0,155;<LOD;0,022;<LOD;0,527;<LOD;6,489;<LOD;2,452;<LOD;5,616;<LOD;3,506;<LOD;1,687;<LOD;0,481;<LOD;1,073;<LOD;0,853;<LOD;1,155;<LOD;0,431;<LOD;2,492;<LOD;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;19.09.2023 10:04;TestAll Geo;0,43;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;51708,05;;;<LOD;40110,04;;;<LOD;1,5;<LOD;591,45;<LOD;305,49;1292,09;451,11;<LOD;74,09;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;48033,43;<LOD;433,2;<LOD;877,32;<LOD;1118,04;<LOD;2536,79;<LOD;1937,2;<LOD;12426,61;;;;;<LOD;430,34;<LOD;893,52;<LOD;37389,29;;;;;;;;;<LOD;113,05;<LOD;300000;<LOD;96,71;<LOD;4902,75;<LOD;25,18;<LOD;3238,87;<LOD;300000;<LOD;1,5;<LOD;162,11;;;;;;;;;;;;;;;;;;
21;19.09.2023 10:07;TestAll Geo;1,95;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;3847,73;;;<LOD;2689,95;;;<LOD;1,5;<LOD;494,57;<LOD;46,91;<LOD;215,86;<LOD;1964,01;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;17918,37;<LOD;1884,51;<LOD;16778,54;<LOD;19195,37;<LOD;2218,88;<LOD;1953,74;<LOD;14528,01;;;;;<LOD;773,44;<LOD;3114,67;<LOD;5762,12;;;;;;;;;<LOD;99,13;<LOD;300000;<LOD;20,07;<LOD;349,52;<LOD;1783,68;<LOD;15700;<LOD;300000;907407,81;113108,27;<LOD;553,3;;;;;;;;;;;;;;;;;;
22;19.09.2023 10:07;TestAll Geo;1,9;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;19323,21;;;<LOD;15556,4;;;<LOD;1,5;<LOD;3484,62;<LOD;479,46;1606,6;398,08;<LOD;3729,46;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;26650,46;<LOD;10018,38;<LOD;12306,96;<LOD;2947,26;<LOD;23777,26;<LOD;2993,32;<LOD;64463,63;;;;;<LOD;2801,33;<LOD;11047,07;<LOD;14763,05;;;;;;;;;<LOD;2285,28;<LOD;300000;<LOD;57,71;<LOD;2716,74;<LOD;651,8;<LOD;72188,14;<LOD;300000;<LOD;1,5;<LOD;2444,06;;;;;;;;;;;;;;;;;;
23;19.09.2023 10:07;TestAll Geo;1,83;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;6634,57;;;<LOD;5501,57;;;<LOD;1,5;<LOD;3080,61;<LOD;3459,42;<LOD;31222,85;<LOD;2709,2;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;16653,07;<LOD;13229,97;<LOD;17702;<LOD;785,41;<LOD;1994,82;<LOD;1713,57;<LOD;12367,34;;;;;<LOD;4785,43;<LOD;4872,6;<LOD;13308,36;;;;;;;;;<LOD;123,55;<LOD;300000;<LOD;1584,52;<LOD;58745,16;<LOD;3375,92;<LOD;18373,73;<LOD;300000;738806,56;274318,09;<LOD;478,29;;;;;;;;;;;;;;;;;;
