"";"Cu";"Zn";"Pb";"Sn";"Sb";"Fe";"S";"Co";"Ni";"Bi";"Ag"
"SNKa_1";86,3658785896999;11,1854718545151;0,945895778558679;0,259867066044884;0;1,23322433494881;0;0;0,00966237623258865;0;0
"SNTK_1";93,3472400649546;2,55154606392857;1,43943151994641;0;0,0351908147733584;2,52695489215923;0;0;0,0144155144854721;0,0852211297523499;0
"SNTK_2";86,9852656750009;5,31098819947855;5,81134236583123;0,0045212725875243;0,0517434529461114;1,82609176173898;0;0;0,0100472724167207;0;0
"SNTK_3";88,4169843565137;7,28592086236361;1,39555672406994;0;0;2,90153805705271;0;0;0;0;0
"SNTK_4";94,8760737424854;2,70339050225491;1,3416826937117;0,0116813169850521;0,0634128636331399;0,919903712572852;0;0;0;0,083855168356981;0
"SNTK_5";91,397696665138;5,378538809836;1,90609679690477;0;0;1,2944147682132;0;0;0;0,0232529599080216;0
"SNTK_6";94,2686980023004;2,03227650250859;1,99840522746678;0,0578634281964252;0,035988229731923;1,39719009547466;0;0;0;0,209578514321198;0
