Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1040;27.11.2023 12:58;TestAll Geo;330,09;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;383,66;4,4;326,7;3,95;<LOD;4,25;78,62;2,47;5;0,7;34,82;3,64;<LOD;1,79;8,76;2,98;<LOD;30,08;0,41;0,15;98,54;6,88;<LOD;33,1;30,82;8,36;<LOD;27,85;<LOD;100,39;41607,3;205,73;447,93;37,22;118,71;11,02;157,62;6,91;6830,76;53,98;<LOD;2,2;6744,73;76,62;16689,51;154,06;153,19;84,77;506,7;21,64;<LOD;10,77;327,13;13,68;14,54;5,54;<LOD;0,62;<LOD;6,15;<LOD;3,43;35,76;5,08;273,21;20,54;163,8;16,73;490900,16;2632,72;33,88;1,82;63,15;2,16;<LOD;44,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;111046,17;1262,34;2155,49;65,77;316775,59;1180,12;1038,56;25,99;<LOD;1511,17
1041;27.11.2023 13:08;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;296,96;3,99;299,78;3,8;<LOD;4,1;64,3;2,28;4,28;0,67;30,82;3,53;<LOD;1,93;6,82;2,87;<LOD;31,11;0,45;0,15;84,91;6,55;<LOD;34,46;29,99;8,69;<LOD;29,23;<LOD;78,68;32287,38;182,2;392,09;35,81;114,87;8,66;172,05;6,86;6402,24;51,73;<LOD;1,61;4770,06;55,17;10776,38;108,57;<LOD;93,74;991,31;27,34;49,32;8,92;447,77;16,67;56,25;6,75;<LOD;0,74;<LOD;6,98;<LOD;4,12;40,74;5,93;473,01;25,9;264;20,5;592769,69;2305,57;33,12;1,8;56,32;2,05;<LOD;41,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;79910,94;1051,54;1633,98;66,77;257814,41;1099,68;1168,51;28,9;<LOD;1441,95
1042;27.11.2023 13:15;TestAll Geo;330,58;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;449,42;4,46;165,89;2,8;<LOD;3,67;59,59;2,15;4,71;0,66;33,07;3,49;<LOD;1,79;5,89;2,81;<LOD;30,29;0,38;0,15;80,63;6,12;<LOD;32,56;<LOD;13,58;103,75;15,61;<LOD;79,73;22101,6;146,83;257,95;30,8;86,27;7,96;129,68;6,32;7497,98;55,42;<LOD;1,34;3424,43;44,56;7042,54;85,83;143,13;57,13;655,35;23,96;<LOD;12;410,54;15,32;42,47;6,2;<LOD;0,69;<LOD;6,57;<LOD;3,66;41,46;5,56;291,7;22,06;174;17,95;543131;2530;43,05;1,93;119,21;2,63;<LOD;39,99;<LOD;1,5;<LOD;1,5;<LOD;1,5;133488,55;1329,9;520,41;51,45;271610,69;1165,87;980,18;25,34;<LOD;1258,51
1043;27.11.2023 13:26;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;493,99;4,7;199,1;3,07;<LOD;3,88;63,16;2,23;5,84;0,7;33,22;3,53;<LOD;1,81;7,16;2,86;<LOD;30,14;0,42;0,15;92,76;6,46;<LOD;32,43;35,9;8,55;<LOD;27,99;<LOD;82,87;25111,82;157,2;280,74;31,68;98,23;8,2;144,94;6,97;7762,93;57,57;<LOD;1,5;4333,32;49,88;7407,42;88,98;93,45;57,53;463,07;23,35;<LOD;11,92;348,71;15,09;31,04;6,19;<LOD;0,69;<LOD;6,7;<LOD;3,87;30,75;5,44;297,19;22,51;152,84;18,01;551773,5;2581,87;44,96;1,97;133,19;2,77;<LOD;42,13;<LOD;1,5;<LOD;1,5;<LOD;1,5;128615,72;1352,64;610,42;56,29;261575,28;1114,62;986,55;27,22;<LOD;1355,39
1044;27.11.2023 13:34;TestAll Geo;330,24;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;461,64;4,54;154,47;2,73;<LOD;3,63;52,6;2,08;4,66;0,65;28,97;3,41;<LOD;1,83;6,44;2,76;<LOD;30,3;0,33;0,15;70,17;5,9;<LOD;32,68;31,31;8,32;98,08;15,51;<LOD;77,45;20013,05;140,87;317,13;32,09;81,42;8,11;133,64;6,25;7353,37;54,49;<LOD;1,51;4441,37;50,36;6938,9;86,86;98,6;57,32;884,32;25,07;37,37;8,31;472,73;15,78;59,36;6,35;<LOD;0,7;<LOD;6,54;<LOD;3,76;38,91;5,51;360,13;23,04;216,57;18,65;565306,38;2422,81;41,67;1,92;112,88;2,58;<LOD;39,22;<LOD;1,5;<LOD;1,5;<LOD;1,5;124291,01;1250,36;646,31;50,96;260311,23;1140,49;855,47;23,69;<LOD;1214,43
1045;27.11.2023 14:18;TestAll Geo;330,72;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;422,83;4,6;284,81;3,75;<LOD;3,9;47,05;2,1;4,51;0,69;47,96;4,01;<LOD;1,92;11,3;3,31;<LOD;31,07;0,42;0,16;93,03;6,96;<LOD;35,01;98,53;10,14;<LOD;29,02;164,69;61,94;43910,48;214,09;523,01;39,64;155,96;9,93;146,94;6,94;6305,16;52,1;<LOD;1,79;4842,12;59,76;7524,09;102,67;<LOD;138,94;546,71;24,53;19,14;8,64;432,02;16,27;55,16;6,64;<LOD;0,73;<LOD;6,88;<LOD;4;33,18;5,68;445,6;24,8;235,09;19,51;591909,13;2299,09;34,32;1,86;80,24;2,31;<LOD;42,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;105605,11;1159,22;1543,06;59,78;228966,95;1017,69;960,2;24,6;<LOD;1283,95
1046;27.11.2023 14:27;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;415,03;4,5;246,67;3,47;<LOD;3,78;46,95;2,04;3,54;0,65;44,45;3,86;<LOD;1,82;7,62;3,14;<LOD;29,61;0,41;0,15;80,16;6,6;<LOD;34,01;89,35;9,8;<LOD;28,42;<LOD;101,86;43762,63;211,9;451,69;38;189,47;10,74;139,25;7,07;6460,05;53,08;<LOD;1,96;5416,91;65,58;9020,52;114,85;130,15;76,05;580,02;24,36;36,83;8,6;462,39;16,28;54,39;6,55;<LOD;0,73;<LOD;6,74;<LOD;3,85;37,4;5,69;449,7;24,27;218,07;18,91;582004,25;2333,55;34,75;1,84;81,4;2,29;<LOD;40;<LOD;1,5;<LOD;1,5;<LOD;1,5;103584,13;1162,53;1952,66;64,16;238675,86;1010,45;1163,03;26,31;<LOD;1323,51
1047;27.11.2023 14:37;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;459,38;4,8;285,97;3,78;<LOD;3,97;47,73;2,12;4,75;0,69;39,98;3,83;<LOD;1,88;14,34;3,25;<LOD;30,83;0,38;0,15;95,56;7,08;<LOD;34,54;94,02;10,16;<LOD;29,52;<LOD;105,69;47825,82;224,87;522,36;40,14;166,55;10,31;153,61;7,2;6464,19;53,56;<LOD;2,02;6119,39;67,86;8767,33;111,86;126,26;74,5;475,55;24,3;<LOD;12,87;429,48;16,37;44,71;6,59;<LOD;0,73;<LOD;6,88;<LOD;3,99;40,17;5,87;385,12;24,07;210,8;19,18;569007,56;2457,96;35,17;1,88;82,71;2,34;<LOD;43,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;105835,51;1223,1;3262,74;77,58;243160,63;1037,21;1357,09;28,54;<LOD;1432,39
1048;27.11.2023 15:05;TestAll Geo;330,6;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;498,24;5,01;311,73;3,97;<LOD;4,03;45,51;2,12;4,82;0,71;51,27;4,15;<LOD;1,91;11,8;3,43;<LOD;31,14;0,31;0,15;98,65;7,17;<LOD;34,4;92,07;10,13;<LOD;29,41;<LOD;105,36;46124,86;222,41;494,85;40,09;168,72;10,46;146,2;6,99;6401,39;52,75;<LOD;2,1;6608,08;70,67;9323,13;115,36;141,08;76,14;669,09;25,19;48,34;8,78;461,5;16,51;63,32;6,72;<LOD;0,75;<LOD;6,72;<LOD;3,89;40,12;5,83;475;24,89;234,17;19,34;562888,25;2444,27;35,05;1,9;84,92;2,39;<LOD;44,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;109442,64;1223,57;3100,31;73,89;246880,22;1068,09;1286,53;27,1;<LOD;1375,7
1049;27.11.2023 15:36;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;272,48;3,87;362,92;4,12;<LOD;4,19;67,47;2,3;4,31;0,66;31,72;3,51;<LOD;1,83;14,33;3;<LOD;30,31;0,44;0,15;175,59;8,09;<LOD;33,8;<LOD;14,13;<LOD;29,52;76,03;43,77;22498,76;150,68;508,76;36,3;47,71;13,65;150,06;5,54;4249,65;38,03;<LOD;1,62;6642,35;58,64;18863,26;124,61;426,63;66,08;1525,36;30,93;21,86;9,11;463,61;17,33;57,17;7;<LOD;0,78;<LOD;7,01;<LOD;4,09;44,84;6,22;269,84;23,24;150,18;18,85;626258;2167,31;25,03;1,72;70,96;2,2;<LOD;40,74;<LOD;1,5;<LOD;1,5;<LOD;1,5;72008,02;977,32;2212,17;72,78;228025,2;1035,06;2004,09;33,03;<LOD;1377,01
