Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
2436;30.07.2024 17:43;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;187315,11;922,2;4608,27;57,09;169022,22;1797,27;42486,26;205,09;609,5;39,56;<LOD;1725,08;21233,55;167,89;29772,86;264,64;1529,74;74,92;524,19;140,21;131,56;8,96;217,48;14,41;134,2;16,36;<LOD;13,96;138,2;7,57;198,35;3,07;154,18;3,17;15,85;1,58;104,17;2,7;24,93;1,84;26,95;3,37;4,87;0,7;<LOD;4,87;<LOD;1,5;<LOD;1,83;12,45;2,85;<LOD;31,8;0,37;0,15;<LOD;34,17;<LOD;98,11;24,95;3,36;646,92;20,72;32,27;7,19;466,93;13,67;61,42;5,54;<LOD;0,61;<LOD;5,52;<LOD;3,16;40,91;4,83;284,93;18,94;162,84;15,38;<LOD;45,94;<LOD;1,5;<LOD;1,5;<LOD;1,5;9373,92;71,69;521410,41;3090,57
2435;30.07.2024 17:04;TestAll Geo;330,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;282932,22;1153,78;4721,39;47,35;97530,59;1099,01;21807,5;145,18;402,57;33,48;<LOD;1266,34;3631,17;65,49;19528,99;174,44;411,44;48,61;<LOD;133,23;98,47;6,59;41,66;10;<LOD;27,7;<LOD;12,88;34,66;4,95;112,43;2,34;68,63;2,22;20,5;1,57;438,2;4,35;27,97;1,65;18,49;3,08;4,19;0,63;<LOD;3,7;<LOD;1,5;<LOD;1,8;<LOD;5,01;<LOD;30,19;0,42;0,15;<LOD;32,06;<LOD;77,63;<LOD;1,8;1042,57;21,26;101,65;7,07;519,09;13,3;77,11;5,37;<LOD;0,59;<LOD;5,05;<LOD;2,81;47,33;4,69;358,29;18,36;234,03;15;<LOD;38,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;418,88;22,14;559763,44;2314,37
2434;30.07.2024 16:46;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;271595,41;1154,91;4875,82;48,48;84765,72;1055,24;19893,51;138,98;393,09;33,1;<LOD;1343,65;3556,42;60,4;17759,54;157,37;286,94;52,4;<LOD;149,03;105,64;6,76;32,83;9,06;<LOD;27,94;<LOD;12,99;35,93;4,94;111,52;2,33;61,42;2,13;21,81;1,58;382,53;4,11;27,26;1,62;16,37;2,99;4,18;0,62;<LOD;3,57;<LOD;1,5;<LOD;1,75;<LOD;5,22;<LOD;31,07;0,45;0,15;<LOD;31,22;<LOD;76,04;<LOD;1,66;922,34;21,52;69,32;7,2;500,97;13,65;66;5,48;<LOD;0,61;<LOD;5,23;<LOD;2,95;41,67;4,76;318,63;18,72;192,34;15,22;<LOD;37,78;<LOD;1,5;<LOD;1,5;<LOD;1,5;504,39;24,88;584901;2272,78
2433;30.07.2024 16:37;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;277144,06;1083,48;5207,64;55,88;98076,96;1144,04;53111,7;229,34;443,8;37,52;<LOD;1349,72;2104,67;57,63;9346,99;145,41;439,84;49,9;<LOD;131,7;103,77;8,02;112,9;12,35;<LOD;28,34;<LOD;13,72;27,92;5,33;77,14;2,02;70,45;2,32;26,63;1,68;468,21;4,53;34,3;1,76;20,17;3,18;5,87;0,69;<LOD;3,73;<LOD;1,5;<LOD;1,86;6,45;2,6;<LOD;30,14;0,37;0,15;<LOD;33,07;<LOD;105,16;2,25;1,18;402,18;19,14;<LOD;10,08;372,87;12,74;33,16;5,19;<LOD;0,58;<LOD;5,3;<LOD;3,02;37,97;4,67;259,77;17,91;156,88;14,62;<LOD;43,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;477,33;22,41;548377,31;2388,25
2432;30.07.2024 15:53;TestAll Geo;330,41;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;272195,38;1116,02;5031,08;54,33;95958,73;1104,93;49576,68;224,6;441,52;37,84;<LOD;1279,12;2129,2;58,73;9497,98;148,27;471,78;47,91;<LOD;125,01;98,26;7,79;113,82;12,6;<LOD;28,51;<LOD;13,21;24,8;5,26;73,04;2;68,63;2,32;24,43;1,67;441,07;4,47;32,38;1,76;19,47;3,19;5,25;0,68;<LOD;3,87;<LOD;1,5;<LOD;1,83;6,91;2,62;<LOD;30,59;0,34;0,15;<LOD;33,74;<LOD;104,34;<LOD;1,76;545,91;19,59;<LOD;10,27;428,83;12,99;46,08;5,24;<LOD;0,58;<LOD;5,17;<LOD;2,95;44,29;4,73;276,56;17,86;178,39;14,66;<LOD;43,14;<LOD;1,5;<LOD;1,5;<LOD;1,5;458,86;21,25;558858,25;2299,89
2431;30.07.2024 15:45;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;260941,72;1103,83;4762,78;49,74;94775,48;1038,26;40698,82;203,2;434,87;36,91;<LOD;1159,51;1950,28;54,2;9240,16;139,61;337,53;42,68;<LOD;114,07;87,61;6,92;81,72;11,67;<LOD;28,54;32,26;8,39;34,28;5,34;71,14;1,97;68,23;2,33;25,68;1,7;373,14;4,15;35,85;1,8;19,56;3,19;6,14;0,7;<LOD;3,77;<LOD;1,5;<LOD;1,81;6,37;2,6;<LOD;29,7;0,46;0,15;<LOD;32,42;<LOD;99,52;<LOD;1,63;784,31;20,04;92,13;6,97;497,49;13,05;70,07;5,28;<LOD;0,58;<LOD;5,05;<LOD;2,79;48,88;4,67;380,74;18,52;225,4;14,9;<LOD;43,79;<LOD;1,5;<LOD;1,5;<LOD;1,5;433,48;19,24;580077,88;2195,99
2430;30.07.2024 15:36;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;251290,89;1046,85;4581,56;50,4;90229,05;1054,13;43643,23;209,41;411,48;36,54;<LOD;1223,51;1841,84;51,46;8122,57;130,21;600,67;50,51;<LOD;129,96;94,89;7,29;83,68;11,19;<LOD;28,62;<LOD;13,4;22,24;5,06;66,89;1,92;62,61;2,21;22,17;1,62;351,31;4,02;29,35;1,68;15,08;3,01;4,49;0,64;<LOD;3,72;<LOD;1,5;<LOD;1,81;6,72;2,49;<LOD;30,49;0,26;0,14;<LOD;33,43;<LOD;100,88;<LOD;1,54;688,98;20,33;48,21;7,05;457,44;13,25;65,55;5,42;<LOD;0,6;<LOD;5,46;<LOD;3,08;40,29;4,69;349,68;19,31;238,61;15,87;<LOD;40,99;<LOD;1,5;<LOD;1,5;<LOD;1,5;492,71;21,8;591580,94;2197,78
2429;30.07.2024 15:25;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;281252,47;1182,22;5849,96;54,68;106917,09;1200,96;23195,08;153,96;435,38;35,54;<LOD;1330,18;4384,45;71,01;20270,9;179,6;453,46;50,8;161,18;87,43;241,47;8,08;74,39;10,91;125,39;16,05;<LOD;14,03;41,72;5,29;200,03;3,13;75,54;2,41;25,6;1,69;339,43;4,09;29,77;1,75;19,42;3,21;5,63;0,7;<LOD;4,11;<LOD;1,5;<LOD;1,85;<LOD;5,8;<LOD;31,69;0,47;0,15;<LOD;32,4;<LOD;82,51;<LOD;2;2037,22;24,77;107,08;7,09;519,04;13,24;74,06;5,32;<LOD;0,59;<LOD;5,11;<LOD;2,82;43,78;4,62;366,61;19,06;220,79;15,43;<LOD;42,61;<LOD;1,5;<LOD;1,5;<LOD;1,5;390,33;22,5;546228,5;2474,4
2428;30.07.2024 15:17;TestAll Geo;330,31;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;283867,78;1164,96;6934,06;61,44;106186,43;1190,25;27870,55;168,5;490,22;37,08;<LOD;1322,96;5875,7;90,12;26416,25;224,66;603,46;50,21;414,79;108,44;337,24;9,24;128,19;13,64;<LOD;27,4;<LOD;13,31;42,54;5,34;262,7;3,55;85,1;2,54;26,74;1,71;356,4;4,23;35,02;1,84;24,74;3,37;6,09;0,72;<LOD;4,3;<LOD;1,5;<LOD;1,79;<LOD;6,03;<LOD;29,67;0,43;0,15;<LOD;31,1;<LOD;88,01;2,64;1,73;1865,54;22,9;79,48;6,6;469,81;12,24;65,49;4,97;<LOD;0,55;<LOD;4,74;<LOD;2,63;39,79;4,31;368,4;17,76;223,18;14,36;<LOD;45,23;<LOD;1,5;<LOD;1,5;<LOD;1,5;380,41;21,84;535444,81;2467,69
2427;30.07.2024 14:53;TestAll Geo;330,43;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;301242,72;1219,03;6172,03;58,26;114594,85;1252,45;24028,53;156,37;439,7;35,72;<LOD;1340,91;4614,44;78,34;21956,86;199,71;501,04;50,44;225,93;98,54;252,59;8,65;106,09;12,35;101,05;15,65;<LOD;13,54;43,01;5,33;193,73;3,08;78,41;2,45;25,2;1,69;346,18;4,11;34,93;1,82;20,48;3,23;5,84;0,7;5,7;2,8;<LOD;1,5;<LOD;1,79;6,27;2,62;<LOD;31;0,6;0,16;<LOD;32,66;<LOD;84,24;<LOD;2,23;1680,11;22,58;74,95;6,67;465,53;12,37;57,92;4,98;<LOD;0,55;<LOD;4,96;<LOD;2,71;38,25;4,33;398,09;18,8;243,25;15,18;<LOD;43,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;404,08;22,5;517094,69;2564,07
