Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1706;05.03.2024 17:55;TestAll Geo;330,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,22;2,78;197,39;3,13;<LOD;4,96;156,69;3,27;5,09;0,72;26,77;3,45;<LOD;1,97;12,06;2,91;<LOD;32;0,41;0,15;130,52;7,61;<LOD;35,27;39,34;8,96;129,06;16,81;<LOD;101,32;42651,58;209,96;627,79;40,65;209,61;11,65;135,53;7,4;4668,45;48,94;25,59;2,68;20107,7;133,44;29462,55;214,42;485,02;112,66;656,54;25,73;37,07;8,93;464,49;16,93;61,83;6,87;<LOD;0,76;<LOD;7,07;<LOD;4,09;37,27;5,91;289,17;23,59;187,78;19,4;537241,19;3032,33;15,41;1,61;24,72;1,89;<LOD;47,38;<LOD;1,5;<LOD;1,5;<LOD;1,5;158554,27;1731,92;1450,1;73,79;183800,45;922,96;7932,24;65,6;<LOD;1736,98
1707;19.03.2024 16:21;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,67;2,74;197,03;3,07;<LOD;4,87;157,84;3,23;5,74;0,72;25,18;3,36;<LOD;1,97;14,12;2,87;<LOD;31,09;0,4;0,15;147,09;7,75;<LOD;34,21;28,84;8,54;118,44;16,21;<LOD;98,3;42435,06;205,35;595,13;39,35;211,15;11,68;139,14;7,38;4586,7;48,17;24,97;2,71;20745,58;134,96;29258,09;213,34;435,84;111,29;654,18;25,67;39,33;8,92;459,66;16,85;58,28;6,82;<LOD;0,76;<LOD;7,06;<LOD;4,05;35,56;5,86;276,21;23,34;184,85;19,27;537373,94;3024,04;16,1;1,59;23,97;1,85;<LOD;47,61;<LOD;1,5;<LOD;1,5;<LOD;1,5;159137,05;1745,55;1484,69;74,59;182798,42;929,77;8176,09;66,99;<LOD;1749,33
1708;19.03.2024 16:30;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;258,94;3,42;56,29;1,72;<LOD;3,32;49,53;1,96;3,68;0,59;15,13;2,88;<LOD;1,55;7,95;2,41;<LOD;28,46;0,26;0,14;34,72;4,97;<LOD;29,8;49,12;8,22;119,9;15,13;<LOD;89,05;31724,43;173,13;466,76;35,13;254,5;12,64;135,98;6,74;7212,96;54,85;2,68;1,15;2680,88;51,41;9252,61;119,62;<LOD;122,65;604,38;21,01;<LOD;10,78;399,4;13,51;39,62;5,47;<LOD;0,6;<LOD;5,73;<LOD;3,2;33,56;4,8;312,1;20,09;203,71;16,47;595079,81;2214,3;24,57;1,58;24,78;1,53;<LOD;36,18;<LOD;1,5;<LOD;1,5;<LOD;1,5;117288,21;1165,15;2781,44;64,51;226040,55;991,63;632,48;21;<LOD;1141,44
1709;19.03.2024 16:38;TestAll Geo;330,33;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;243,35;3,32;53,22;1,68;<LOD;3,25;45,3;1,92;4,43;0,61;16,84;2,93;<LOD;1,6;6,75;2,42;<LOD;29,3;0,35;0,14;32,54;4,88;<LOD;30,59;45,42;8,14;117,94;15,07;<LOD;85,79;28014,77;162,41;466,53;34,77;178,66;11,35;128,88;6,26;6245,37;49,57;2,25;1,03;2419,75;47,76;8177,46;110,53;<LOD;113,58;696,34;21,64;14,19;7,34;419,51;13,78;42,9;5,55;<LOD;0,61;<LOD;5,78;<LOD;3,28;36,57;4,9;330,66;20,56;217,56;16,85;605418,31;2215,61;21,52;1,56;28,2;1,57;<LOD;37,18;<LOD;1,5;<LOD;1,5;<LOD;1,5;119981,13;1180,13;2531,27;63,15;218854,67;990,41;842;22,17;<LOD;1131,05
1710;19.03.2024 16:46;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;265,26;3,44;50,65;1,65;<LOD;3,27;45,48;1,93;4,82;0,62;15,2;2,9;<LOD;1,69;5,96;2,38;<LOD;28,75;0,23;0,14;25,48;4,78;<LOD;32,06;36,81;8,25;100,73;15,25;<LOD;87,23;30440,03;169,66;994,68;43,66;173,37;9,64;112,02;6,55;7444,96;55,79;1,87;0,81;1667,29;39,45;8960,09;105,64;108,5;66,06;553,63;23,26;<LOD;12,14;408,7;15,22;49,19;6,23;<LOD;0,68;<LOD;6,39;<LOD;3,73;31;5,34;286,81;21,83;187,01;17,94;677870,19;1927,78;25,27;1,6;28,21;1,57;<LOD;37,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;80336,05;958,75;2511,98;67,59;180618,58;882,05;790,14;24,09;<LOD;1179,52
1711;19.03.2024 16:55;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;439,79;4,88;299,29;3,99;5,34;3,49;134,93;3,24;8,2;0,84;28,86;3,75;<LOD;2,13;5,03;2,97;<LOD;33,57;0,48;0,16;93,06;7,16;<LOD;35,91;<LOD;14,67;119,46;17,71;155,38;63,08;42169,66;218,09;695,77;44,31;117,45;10,85;203,36;7,88;6677,4;58,08;<LOD;3,28;15296,8;120,44;49455;265,86;941,77;126,79;1479,29;28,56;49,4;8,58;434,87;15,91;46,7;6,39;<LOD;0,72;<LOD;6,88;<LOD;3,96;32,66;5,54;449,44;25,29;272,43;20,32;549815,31;2728,95;43,22;2,02;45,43;2,19;<LOD;53,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;91977,32;1276,09;9720,83;131,66;224406,69;1010,91;1393,48;32,94;<LOD;1787,7
1712;19.03.2024 17:02;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;427,72;4,73;289,21;3,85;8,73;3,51;141,94;3,25;8,11;0,83;29,2;3,69;<LOD;2,11;5,26;2,93;<LOD;32,01;0,35;0,16;98,69;7,21;<LOD;36,71;<LOD;14,24;<LOD;29,53;<LOD;104,58;43318,15;217,11;726,35;43,98;117,74;10,69;204,27;7,98;6897,33;58,91;<LOD;3,18;14428,27;116,74;50039,89;264,64;890,48;124,41;1428,03;28,75;36,74;8,66;443,21;16,21;49,45;6,51;<LOD;0,71;<LOD;6,92;<LOD;4,05;35,5;5,68;412,17;25,12;255,62;20,32;555265,25;2678,84;45,64;2,01;42,76;2,13;<LOD;53,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;88005,04;1245,03;9251,87;128,56;221635,3;995,59;1329,39;32,86;<LOD;1803,17
1713;19.03.2024 17:15;TestAll Geo;330,48;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;401,44;4,73;302,89;4,02;6,43;3,54;137,87;3,29;8,6;0,86;28,91;3,77;<LOD;2,25;5,07;2,99;<LOD;34,18;0,42;0,16;85,68;7,04;<LOD;36,48;30,01;9,33;<LOD;31;126;62,33;41070,69;215,99;734,68;45,01;88,76;9,16;205,82;7,78;6681,26;57,83;<LOD;2,79;13377,12;101,7;39174,8;216,61;624,92;102,51;1367,48;29,93;36,52;9,11;457,24;17,16;56,18;6,91;<LOD;0,76;<LOD;7,4;<LOD;4,35;31,87;5,9;390,63;26,62;263,67;21,82;586508,69;2574,93;44,02;2,04;45,54;2,2;<LOD;54,33;<LOD;1,5;<LOD;1,5;<LOD;1,5;76960,1;1170,74;8408,35;125,64;208026,72;1002,45;1351,96;33,97;<LOD;1784,34
1714;19.03.2024 17:25;TestAll Geo;330,65;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;205,38;31,73;565,46;11,19;<LOD;300000;74,2;15,72;<LOD;1918,3;23811,68;363,9;<LOD;11,51;761,53;88,74;<LOD;71,96;<LOD;300000;63,52;9,75;<LOD;300000;1347,33;39,31;<LOD;38,89;<LOD;98,08;26562,43;480,87;281,42;55,69;108,74;17,9;81,77;6,22;1712,78;31,51;9,11;3,01;46277,06;153,91;7671,23;97,03;11074,02;212,21;726,2;36,94;102,71;13,1;564,98;24,95;107,7;10,28;77,46;1,48;<LOD;10,43;<LOD;6,59;68,6;9,12;308,71;34,47;183,54;27,96;495276,69;6962,84;<LOD;11,51;53,59;9,91;<LOD;484,49;<LOD;1,5;<LOD;1,5;<LOD;1,5;70284,66;1714,88;11219,15;1120,11;257157,8;3210,69;5023,24;105,28;<LOD;2597,35
1715;19.03.2024 17:33;TestAll Geo;330,46;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;205,45;5,86;594,71;7,32;8,79;4,97;62,11;4,23;30,87;6,75;23974,6;90,79;<LOD;9,96;1254,71;71,99;<LOD;64,44;<LOD;1,07;54,96;8,89;<LOD;59,48;1162,05;33,7;<LOD;36,38;<LOD;91,8;28543,54;231,98;395,64;51,93;86,33;16,9;76,11;5,74;1752,55;34,78;16,34;3,42;52606,43;173,91;8396,43;107,14;13327,32;245,73;929,56;35,65;180,67;12,6;666,54;24,14;121,59;9,72;70,44;1,32;<LOD;9,48;<LOD;5,8;81,73;8,79;349;31,94;198,85;25,71;528239,81;6292,38;<LOD;9,36;76,18;8,76;<LOD;404,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;63313,33;1500,35;11384,67;1077,04;243683,91;2895,94;4936,63;96,46;<LOD;2348,23
