Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
885;14.11.2023 10:50;TestAll Geo;330,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,67;2,78;209,06;3,2;<LOD;4,85;157,17;3,25;4,73;0,71;28,93;3,48;<LOD;1,88;13,59;2,96;<LOD;31,39;0,46;0,15;159;8,12;<LOD;35,87;32,74;8,78;114,61;16,51;<LOD;101,44;44104,73;212,16;593,9;40,1;198,96;11,6;138,28;7,48;4665,72;49,04;26,47;2,82;22500,02;140,38;28721,93;212,55;463,33;112,72;658,43;26,19;40,54;9,1;464,12;17,22;59,1;6,97;<LOD;0,78;<LOD;7,13;<LOD;4,2;41,36;6,11;260,61;23,18;160,96;19,01;530575,75;3043,97;16,84;1,61;25,56;1,89;<LOD;46,77;<LOD;1,5;<LOD;1,5;<LOD;1,5;160807,52;1743,76;1803,13;76,13;187687,08;926,08;4836,61;51,12;<LOD;1738,1
886;14.11.2023 10:59;TestAll Geo;330,35;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;318,06;4,04;186,78;3,08;<LOD;3,8;58,57;2,23;5,02;0,69;28,14;3,48;<LOD;1,85;<LOD;5,81;<LOD;31,77;0,59;0,16;31,65;5,15;<LOD;33,44;<LOD;14,48;100,16;16,4;124,05;47,61;25231,77;163,16;600,44;39,42;24,3;7,42;171,43;6,34;5830,91;48,21;1,88;1,01;4297,56;50,85;9536,86;99,9;<LOD;135,52;2538,19;35,67;184,31;9,96;580,32;18,43;95,16;7,43;1,36;0,54;<LOD;7,18;<LOD;4,05;44,81;6,29;401,04;25,71;254,03;20,9;593620,06;2181,38;24,12;1,68;20,14;1,6;<LOD;42,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;73516,26;943,15;<LOD;66,12;274263,06;1143,15;595,62;22,82;<LOD;1246,16
887;14.11.2023 11:12;TestAll Geo;330,04;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;369,37;4,72;388,3;4,61;<LOD;4,51;67,64;2,55;6,22;0,79;43,21;4,17;<LOD;2,21;5,11;3,31;<LOD;33,77;0,64;0,17;38,85;5,77;<LOD;35,56;33,19;9,45;139,73;18,18;<LOD;97,29;30806,97;191,02;1615,26;58,63;92,13;9,02;260,12;8;8051,09;63,2;2,47;1,23;5283,97;61,68;13802,93;127,59;<LOD;143,78;4806,36;45,21;200,2;10,37;582,54;18,94;97,55;7,62;1,03;0,56;<LOD;7,24;<LOD;4,25;48,81;6,56;424,49;27,38;258,06;22,13;578282,69;2370,04;31,79;1,89;26,95;1,84;<LOD;48,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;76589,76;1034,09;<LOD;73,57;269694,16;1164,7;422,81;23,65;<LOD;1394,73
888;14.11.2023 11:19;TestAll Geo;330,55;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;377,03;4,71;465,38;4,91;<LOD;4,65;80,52;2,68;7,39;0,81;39,79;4;<LOD;2,12;9,19;3,26;<LOD;32,35;0,4;0,16;38,28;5,79;<LOD;35,49;37,59;9,39;101,9;17,44;<LOD;103,01;40107,66;212,28;1265,04;52,67;101,88;9,71;279,68;8,75;8885,22;68,24;2,41;1,35;5940,76;68,25;15963,28;142,15;<LOD;153,86;3399,69;38,74;<LOD;13,37;375,47;16,53;29,5;6,66;<LOD;0,75;<LOD;6,96;<LOD;4,05;30,53;5,9;235;23,91;156,64;19,8;535269,38;2546,25;32,88;1,89;33,12;1,92;<LOD;51,21;<LOD;1,5;<LOD;1,5;<LOD;1,5;83820,96;1146,68;227,78;53,95;293943,84;1219,82;374,52;25,19;<LOD;1562,97
889;14.11.2023 11:26;TestAll Geo;330,35;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;418,57;5,28;479,45;5,36;<LOD;5,13;86,74;2,98;8,25;0,9;41,89;4,39;<LOD;2,62;8,37;3,56;<LOD;36,86;0,64;0,19;39,13;6,52;<LOD;42,62;38,12;10,83;81,7;19,56;<LOD;113,83;45127,11;241,85;983,05;52,5;58,75;6,61;228,53;7,84;5092,49;47,58;<LOD;1,32;3864,84;45,23;11012,34;97,71;<LOD;181,89;3395,56;44,38;<LOD;15,34;380,78;19,05;26,59;7,63;<LOD;0,86;<LOD;8,45;<LOD;4,8;26,14;6,68;239,84;28,07;147,18;23,07;585594,81;2508,71;35,68;2,07;32,13;2,07;<LOD;57,13;<LOD;1,5;<LOD;1,5;<LOD;1,5;66233,59;1061,38;<LOD;87,11;259830,95;1234,8;571,79;29,74;<LOD;1668,86
890;14.11.2023 11:34;TestAll Geo;330,51;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;300,27;4,26;510,77;5,01;8,89;3,11;66,25;2,42;6,35;0,75;31,28;3,65;<LOD;1,98;8,56;2,99;<LOD;30,37;0,43;0,16;37,54;5,62;<LOD;34,2;34,6;9,01;109,28;16,93;<LOD;101,21;41786,77;210,75;512,79;39,52;89,62;9,72;181,12;7,77;7503,54;60,5;<LOD;1,84;4703,86;63,23;13687,72;136,25;<LOD;147,22;4085,01;42,15;91,81;9,71;484,94;17,87;68,56;7,24;<LOD;0,81;<LOD;6,96;<LOD;4,05;39,44;6,26;326,79;25,1;196,41;20,4;605862,25;2236,19;30,59;1,79;26,75;1,74;<LOD;47,12;<LOD;1,5;<LOD;1,5;<LOD;1,5;73358,56;1013,94;207,87;51,32;239258,19;1061,36;412,81;24,11;<LOD;1410,41
891;14.11.2023 11:45;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;337,3;4,73;596,51;5,67;<LOD;5,01;75,05;2,69;7,35;0,83;38,55;4,07;<LOD;2,17;7,73;3,28;<LOD;33,69;0,38;0,16;36,36;6,02;<LOD;36,26;46,66;9,74;105,67;18,01;<LOD;113,08;50330,58;242,58;682,38;45,41;132,37;11,06;212,43;8,6;8696,96;68,62;3,36;1,48;5895,89;74,57;16521,54;157,62;<LOD;125,65;3942,67;40,29;18,31;9,05;431,49;16,84;54,58;6,85;<LOD;0,76;<LOD;6,9;<LOD;4,09;38,98;6,03;278,68;24,51;174,37;20,11;548485,81;2556,61;33,24;1,93;33,97;1,95;<LOD;53,47;<LOD;1,5;<LOD;1,5;<LOD;1,5;90035,78;1175,07;429,85;53,49;267374,88;1125,14;475,14;24,72;<LOD;1537,21
892;14.11.2023 11:51;TestAll Geo;330,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;345,12;4,8;581,61;5,65;<LOD;4,98;70,17;2,66;7,21;0,83;36,34;4,07;<LOD;2,38;9,22;3,32;<LOD;34,59;0,5;0,17;34,6;6,14;<LOD;38,92;46;10,17;135,9;19;<LOD;114,18;52057,95;249,15;646,38;45,6;106,33;9,37;195,83;8,23;7596,62;63,15;2,16;1,2;4516,45;60,75;12612,91;129,36;<LOD;156,57;4062,66;43,46;45,61;9,8;442,03;18,09;50,16;7,27;<LOD;0,81;<LOD;7,59;<LOD;4,65;35,19;6,36;323,68;27,24;204,41;22,28;576097,06;2452,74;33,57;1,95;29,45;1,9;<LOD;52,9;<LOD;1,5;<LOD;1,5;<LOD;1,5;80925,56;1114,2;217,29;54,48;251343,28;1122,51;502,59;25,73;<LOD;1527,88
893;14.11.2023 11:58;TestAll Geo;330,11;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;311,68;4,93;566,96;5,95;<LOD;5,49;87,3;3,07;7,82;0,91;37,11;4,38;<LOD;2,83;6,4;3,51;<LOD;40,61;0,37;0,18;43,87;6,96;<LOD;45,85;18,47;10,91;129,29;21,21;<LOD;112,34;51018,75;263,05;792,2;51,32;81,54;7,3;371,68;9,44;4542,19;52,84;3,07;1,13;5971,53;55,59;8996,3;93,72;<LOD;191,32;4021,15;47,55;<LOD;15,18;333,82;18,77;13,41;7,53;<LOD;0,84;<LOD;8,7;<LOD;5,11;28,03;6,79;216,78;29,02;135,68;23,97;520841,91;2867;34,39;2,11;34;2,15;<LOD;58,69;<LOD;1,5;<LOD;1,5;<LOD;1,5;85226,73;1269,39;451,52;68,81;296683,47;1295,43;627,66;31,16;<LOD;1836,41
894;14.11.2023 12:10;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;334,4;4,7;470,41;5,15;5,73;3,39;84,11;2,86;8,15;0,86;31,27;3,96;<LOD;2,48;5,9;3,17;<LOD;36,41;0,45;0,17;42,04;6,31;<LOD;39,72;29,73;10,17;120;19,39;<LOD;100,07;44383,66;232,49;659,64;45,36;111,21;8,52;373,3;9,75;5631,49;61,54;3,2;1,29;6810,24;64,29;11024,09;110,57;<LOD;186,82;3424,67;41,92;<LOD;13,81;294,89;17,06;<LOD;10,37;<LOD;0,78;<LOD;7,89;<LOD;4,6;28,96;6,32;196,53;25,94;118,88;21,39;491207,13;2936,85;36,35;2,01;31,64;1,99;<LOD;54,64;<LOD;1,5;<LOD;1,5;<LOD;1,5;98356,98;1367,56;412,06;66,36;317838,13;1305,87;462,25;29,96;<LOD;1827,87
