Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
748;06.11.2023 11:27;TestAll Geo;0,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;271,93;<LOD;98,87;<LOD;300000;<LOD;82,63;<LOD;3891,4;<LOD;373,2;<LOD;65,32;<LOD;20,24;<LOD;2825,62;<LOD;300000;<LOD;391,92;<LOD;300000;<LOD;25842,05;<LOD;65840,38;<LOD;394,58;<LOD;720,97;<LOD;904,93;<LOD;18279,34;<LOD;29523,65;<LOD;1,5;<LOD;518,16;<LOD;142,01;1008,38;339,38;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;2021,56;<LOD;1519,64;<LOD;9680,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
749;06.11.2023 11:36;TestAll Geo;330,11;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;109,39;2,77;189,76;3,06;<LOD;4,88;159,2;3,27;5,06;0,72;30,71;3,53;<LOD;1,91;9,24;2,91;<LOD;32,21;0,4;0,15;120,79;7,37;<LOD;34,77;<LOD;14,15;130,4;16,75;<LOD;100,29;42334,88;208,09;622,8;40,41;<LOD;7,09;<LOD;4,13;539462,25;3010,27;15,05;1,6;21,85;1,85;<LOD;47,96;<LOD;1,5;<LOD;1,5;<LOD;1,5;209,49;11,57;130,68;7,35;4548,34;48,19;24,63;2,59;18762,16;128,58;27989,92;208,4;329,52;106,84;728,35;26,64;68,74;9,26;504,01;17,59;68,78;7,08;<LOD;0,79;40,42;6,1;309,26;23,97;173,24;19,38;163696,28;1744,09;965,94;67,04;183870,73;925,25;4172,78;47,66;<LOD;1682,65
750;06.11.2023 11:46;TestAll Geo;330,04;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;124,76;2,66;162,98;2,67;<LOD;3,18;42,17;1,81;3,08;0,55;10,22;2,64;<LOD;1,55;4,97;2,17;<LOD;27,58;0,29;0,13;35,85;4,73;<LOD;30,31;<LOD;12,94;<LOD;26,63;<LOD;73,2;18584,39;130,07;831,46;39,05;<LOD;6,37;<LOD;3,64;586117,13;2018,94;11,3;1,39;13,54;1,31;<LOD;33,4;<LOD;1,5;<LOD;1,5;<LOD;1,5;50,93;13,73;97,22;4,7;2407,23;27,33;<LOD;2,72;16955,27;92,87;6566,4;86,69;<LOD;146,25;902,98;24,61;<LOD;11,94;414,71;14,99;51,52;6,13;<LOD;0,67;31,17;5,24;297,19;21,76;172,35;17,66;44452,81;774,54;2539,22;71,41;309586,91;1182,12;368,12;22,7;<LOD;1365,91
751;06.11.2023 11:54;TestAll Geo;330,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;201,31;3,13;202,02;2,93;<LOD;3,48;56,38;1,99;3,35;0,57;14,94;2,79;<LOD;1,56;6,81;2,31;<LOD;27,54;0,3;0,13;51,55;5,19;<LOD;30,28;<LOD;12,89;<LOD;26,56;<LOD;80,28;24945,2;149,08;888,97;39,91;<LOD;6,35;<LOD;3,66;560626,5;2208,12;15,05;1,43;17,89;1,41;<LOD;34,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;61,99;13,48;105,73;4,87;2674,95;29,21;<LOD;3,73;32570,92;129,39;7326,1;93,79;198,82;72,23;668,41;24,27;<LOD;11,8;366,69;15,12;34,7;6,19;<LOD;0,67;41,55;5,63;169,04;19,93;110,36;16,57;53955,55;917,73;5321,56;97,52;296985,53;1118,11;923,52;27,19;<LOD;1569,51
752;06.11.2023 12:02;TestAll Geo;330,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;156,11;3,05;197,45;3,08;<LOD;3,62;51,61;2,03;2,93;0,59;13,67;2,92;<LOD;1,78;6,98;2,44;<LOD;31,02;0,25;0,14;44,95;5,45;<LOD;34,15;<LOD;14,43;30,45;15,12;<LOD;70,2;26128,39;162,1;938,65;43,23;<LOD;7,03;<LOD;4,21;591567,13;2150,37;14,71;1,5;16,44;1,46;<LOD;36,68;<LOD;1,5;<LOD;1,5;<LOD;1,5;76,35;14,98;109,21;5,27;2734,69;31,26;<LOD;2,82;20334,7;97,52;6180,74;82,03;94,38;59,67;425,72;24,4;<LOD;12,22;308,87;15,56;<LOD;9,41;<LOD;0,7;26,4;5,66;164,47;21,7;108,36;18,07;42291,59;836,22;2956,61;83,78;287039,75;1163,22;593,01;27,66;<LOD;1559,05
753;06.11.2023 12:19;TestAll Geo;330,52;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;442,97;4,6;234,86;3,37;<LOD;4,85;146,72;3,2;8,59;0,82;34,57;3,71;<LOD;2,05;9,85;3,02;<LOD;31,17;0,43;0,15;53,1;5,88;<LOD;33,35;<LOD;13,65;<LOD;28,14;<LOD;99,12;41773,28;205,97;703,92;41,56;<LOD;6,83;<LOD;3,96;573236,75;2353,9;31,46;1,81;42,11;2,07;<LOD;52,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;12,97;105,59;6,05;4733,6;43,98;<LOD;2,31;8824,3;81,1;18569,13;152,86;119,59;78,39;897,92;26,32;<LOD;12,84;449,33;16,36;49,03;6,57;<LOD;0,73;39,08;5,79;301,01;23,15;188,22;18,93;84189,5;1069;1670,32;63,07;256414,09;1074,44;511,12;23,57;<LOD;1411,27
754;06.11.2023 12:27;TestAll Geo;330,46;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;408,62;4,55;271,61;3,67;<LOD;5,24;168,17;3,45;8,03;0,83;41,44;3,94;<LOD;2,12;7,82;3,17;<LOD;32,57;0,24;0,15;60,71;6,3;<LOD;34,21;<LOD;14,08;<LOD;27,88;<LOD;107,03;50625,37;230,24;805,72;44,62;<LOD;6,95;<LOD;4,09;573966,38;2387,8;34,35;1,88;43,07;2,16;<LOD;53,76;<LOD;1,5;<LOD;1,5;<LOD;1,5;12,37;8,15;103,69;6,09;4927,89;44,97;2,44;1,31;6482,91;69,23;18291,06;146,76;133,14;74,82;598,76;25,32;<LOD;12,6;358,98;15,97;25,27;6,46;<LOD;0,72;28,84;5,69;256,26;23,04;177,59;19,09;86267,25;1102,98;947,31;58,18;247565,58;1065,35;576,7;24,68;<LOD;1458,23
755;06.11.2023 12:33;TestAll Geo;330,58;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;471,18;5,11;284,56;3,97;<LOD;5,45;163,11;3,61;8,47;0,89;46,41;4,31;<LOD;2,43;11,72;3,53;<LOD;34,54;0,35;0,17;63,68;6,78;<LOD;38,74;19,8;9,61;65,02;18,17;112,97;68,2;47985,96;237,27;954,64;49,43;<LOD;7,82;<LOD;4,55;581690,56;2478,99;34,35;1,99;44,98;2,3;<LOD;57,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;10,16;104,33;6,2;3316,22;40,99;<LOD;2,23;11684,39;78,7;12476,63;112,66;108,25;63,72;642,46;28,17;<LOD;14,01;352,07;17,56;30,02;7,18;<LOD;0,81;29,35;6,3;263,7;25,38;185,76;21,05;75718,05;1099,59;2179,27;76,55;244981,61;1124,03;599,34;27,63;<LOD;1599,26
756;06.11.2023 12:40;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;120,89;2,66;199,95;2,92;<LOD;3,33;49,9;1,91;3,26;0,56;8,56;2,61;<LOD;1,63;3,81;2,11;<LOD;28,26;0,27;0,13;45,26;5,02;<LOD;28,79;<LOD;12,48;<LOD;25,81;<LOD;82,38;26929,23;155,06;467,48;33,09;<LOD;5,97;<LOD;3,45;569385,63;2023,86;14,37;1,42;18,68;1,4;<LOD;34,44;<LOD;1,5;<LOD;1,5;<LOD;1,5;65,38;13,05;104,97;4,72;2661,28;28,46;3,57;1,59;11474,28;80,95;10192,54;107,19;<LOD;97,36;729,92;23,44;<LOD;11,23;352,75;14,29;23,57;5,8;<LOD;0,65;38,57;5,31;184,01;19,25;113,14;15,9;55329,59;821,95;1202,87;55,84;312487,25;1157,29;590,86;22,21;<LOD;1265,18
757;06.11.2023 12:47;TestAll Geo;330,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;151,1;2,87;203,23;2,96;<LOD;3,44;52,36;1,97;3,5;0,57;11,63;2,71;<LOD;1,56;5,53;2,23;<LOD;27,67;0,26;0,13;46,01;5,19;<LOD;29,58;<LOD;12,42;<LOD;26,36;<LOD;88,79;34868,56;177,42;600,21;36,51;<LOD;6,19;<LOD;3,48;549893,13;2076,2;13,91;1,43;18,25;1,42;<LOD;35,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;68,36;12,3;95,63;4,43;2465,55;26,65;3,78;1,56;11440,29;79,65;9983,57;104,83;<LOD;94,98;867,81;24,71;<LOD;11,75;385,3;14,92;40,28;6,1;<LOD;0,68;40,99;5,49;198,36;19,98;123,48;16,5;60013,41;854,91;1437,21;56,77;319756,31;1149,19;561,1;21,34;<LOD;1291,43
