Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
3108;19.12.2024 17:36;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;185219,44;931,26;4630,64;57,72;160553,08;1757,38;43327,5;212,55;642,6;41,27;<LOD;1739,33;22087,6;171,25;29937,62;265,96;1563,49;75,42;408,91;137,36;140,56;9,09;211,55;14,41;126,08;16,74;32,05;8,83;159,14;8,18;204,64;3,2;163,51;3,35;15,76;1,62;107,7;2,8;24,08;1,9;28,11;3,51;5,33;0,73;<LOD;5,11;<LOD;1,5;<LOD;1,98;12,6;2,96;<LOD;32,74;0,35;0,15;<LOD;35,52;<LOD;101,52;23,9;3,41;651,42;20,94;35,57;7,27;456,54;13,73;64,57;5,62;<LOD;0,62;<LOD;5,51;<LOD;3,05;40,15;4,86;297,49;19,01;164,49;15,34;<LOD;48,33;<LOD;1,5;<LOD;1,5;<LOD;1,5;7775,56;65,19;531145,69;3069,73
3107;19.12.2024 17:28;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;274624,34;1140,44;6383,2;63,36;114604,56;1250,03;44779,49;222,2;582,32;42,08;<LOD;1339,55;4130,26;78;10563,5;160,9;297,95;45,85;<LOD;124,1;184,67;9,09;147,57;14;139,66;17,57;30,2;8,9;40,25;5,85;126,4;2,65;66,53;2,38;29,07;1,8;507,61;4,99;38,23;1,9;19,44;3,34;5;0,7;<LOD;4,08;<LOD;1,5;<LOD;1,93;6,79;2,74;<LOD;33,16;0,51;0,16;<LOD;35,58;<LOD;106,33;3,04;1,6;2156,52;24,61;59,46;6,76;433,28;12,43;39,6;4,94;<LOD;0,55;<LOD;5,17;<LOD;2,89;32,25;4,33;401,67;19,87;259,57;16,17;<LOD;44,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;317,5;20,57;535902,5;2514,32
3106;19.12.2024 17:21;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;256626,45;1110,94;6497,66;60,98;93210,51;1100,01;33495;185,33;699,46;41,25;<LOD;1287,42;4146,02;71,11;10101,25;144,17;418,79;49,34;<LOD;133,22;209,81;8,79;101,14;12,29;97,65;16,02;<LOD;13,75;39,24;5,43;134,39;2,62;58,12;2,2;28,62;1,73;526,57;4,89;39,31;1,82;13,85;3,05;5,64;0,69;<LOD;3,73;<LOD;1,5;<LOD;1,79;8,54;2,55;<LOD;31,3;0,45;0,15;<LOD;33,48;<LOD;92,7;2,69;1,45;2440,16;25,96;55,91;6,88;447,44;12,75;49,35;5,11;<LOD;0,57;<LOD;5,12;<LOD;2,86;34,03;4,44;332,28;19,01;216,51;15,57;<LOD;42;<LOD;1,5;<LOD;1,5;<LOD;1,5;440,82;22,37;584824,25;2279,22
3105;19.12.2024 17:08;TestAll Geo;330,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;259203,05;1110,89;6609,12;62,11;94257,77;1100,86;34721,89;189,22;664,14;40,84;<LOD;1261,41;4303,9;73,42;10223,33;147,36;365,01;48,27;<LOD;131,47;194,18;8,83;106,12;12,5;101,16;16,21;32,95;8,59;43,8;5,61;132,79;2,61;61,37;2,23;28,42;1,73;523,2;4,89;39;1,83;16,99;3,15;5,01;0,68;<LOD;3,77;<LOD;1,5;<LOD;1,88;7,08;2,59;<LOD;31,31;0,37;0,15;<LOD;34,2;<LOD;94,58;2,3;1,5;2295,79;25,44;67,9;6,9;441,91;12,69;55,07;5,14;<LOD;0,57;<LOD;5,14;<LOD;2,88;34,11;4,43;333,81;18,96;215,71;15,51;<LOD;41,48;<LOD;1,5;<LOD;1,5;<LOD;1,5;429,03;22,09;580055,88;2275,24
3104;19.12.2024 16:27;TestAll Geo;330,26;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;233680,8;1022,2;7212,35;70,87;102535,84;1215,54;85066,26;314,81;643,53;47,52;<LOD;1427,87;2225,82;60,87;7386,61;140,41;1343,58;59,79;<LOD;137,41;118,26;9,49;180,68;13,32;146,97;19,29;38;9,87;69,74;7,33;83,3;2,27;68,62;2,51;33,19;1,9;511,28;5,13;37,73;1,95;21,14;3,49;6,03;0,76;<LOD;4,2;<LOD;1,5;<LOD;2,16;9,6;2,95;<LOD;32,95;0,35;0,16;<LOD;38,5;<LOD;128,31;2,85;1,3;902,49;22,6;<LOD;11;410,24;13,77;41,64;5,56;<LOD;0,62;<LOD;5,89;<LOD;3,36;31,89;4,84;324,9;20,83;201,38;16,97;<LOD;49,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;409,01;22,46;561827;2451,72
3103;19.12.2024 16:02;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;232468,17;1029,86;7258,85;70,37;101626,8;1213,5;85105,46;316,11;601,07;47,1;<LOD;1427,53;2272,42;60,22;7283,55;137,32;1367,45;60,03;<LOD;136,99;105,11;9,27;182,02;13,06;150,71;19,5;41,71;10;74,51;7,47;82,72;2,28;70,71;2,58;33,31;1,93;511,74;5,15;38,81;1,98;18,82;3,45;7,44;0,8;<LOD;4,2;<LOD;1,5;<LOD;2,22;9,45;2,91;<LOD;33,35;0,46;0,17;<LOD;38,58;<LOD;128,92;2,05;1,27;906,75;22,57;<LOD;10,94;414,28;13,76;39,1;5,53;<LOD;0,61;<LOD;5,93;<LOD;3,37;30,35;4,8;315,16;20,8;201,43;17,02;<LOD;51,93;<LOD;1,5;<LOD;1,5;<LOD;1,5;407,26;22,44;564051,94;2458,33
3102;19.12.2024 15:52;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;242860,41;1072,24;7777,33;70,5;103231,48;1223,49;53737,68;242,68;642,85;43,43;<LOD;1441,81;2376,75;54,15;7562,83;123,09;2401,39;72,29;<LOD;146,75;114,89;8,97;115,11;10,72;133,95;18,17;<LOD;14,97;68,11;6,7;94,47;2,32;71,35;2,48;33,6;1,86;490,39;4,88;38,02;1,91;24,23;3,49;6,87;0,76;<LOD;4,03;<LOD;1,5;<LOD;2,1;4,47;2,8;<LOD;32,97;0,4;0,16;<LOD;37,56;<LOD;103,97;<LOD;1,66;897,57;22,7;<LOD;10,97;403,83;13,79;40,21;5,58;<LOD;0,62;<LOD;5,83;<LOD;3,33;35,94;4,94;280,21;20,07;184,37;16,52;<LOD;48,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;362,05;23,61;571807,44;2470,9
3101;19.12.2024 15:37;TestAll Geo;330,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;271051,88;1118,47;7660,93;66,94;104873,48;1140,24;31092,69;175,64;277,98;32,69;<LOD;1244,52;3873,46;72,24;7727,29;133,71;3278,85;71,36;279,28;86,92;125,73;8,48;161,63;13,86;<LOD;27,64;<LOD;13,01;24,47;4,85;72,26;1,96;32,91;1,78;24,48;1,63;426,85;4,34;26,97;1,57;17,64;3,06;4,58;0,63;<LOD;3,24;<LOD;1,5;<LOD;1,7;4,88;2,48;<LOD;30,1;0,52;0,15;<LOD;31,53;<LOD;90,24;<LOD;2,23;866,29;19,03;41,73;6,33;443,45;11,86;49,8;4,77;<LOD;0,53;<LOD;4,72;<LOD;2,51;35,86;4,16;359,85;17,52;202,38;14,04;<LOD;38,16;<LOD;1,5;<LOD;1,5;<LOD;1,5;252,93;19,66;562977,19;2321,57
3100;19.12.2024 15:05;TestAll Geo;330,62;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;284608;1132,43;8051,46;69,08;113320,97;1190,59;37654,79;196,23;349,82;35,21;<LOD;1227,82;4433,86;78,59;8689,75;141,38;3168,88;68,11;232,67;80,56;133,9;8,67;202,83;16,05;<LOD;27,67;<LOD;12,9;23,78;4,97;84,69;2,13;35,91;1,87;26,6;1,68;456,18;4,55;31,12;1,66;19,43;3,17;4,67;0,65;<LOD;3,36;<LOD;1,5;<LOD;1,68;5,68;2,58;<LOD;29,51;0,48;0,15;<LOD;31,09;<LOD;97,43;3,57;1,84;843,36;18,08;27,3;6;433,08;11,26;49,78;4,56;<LOD;0,5;<LOD;4,51;<LOD;2,43;37,53;3,99;332,44;16,46;214,18;13,44;<LOD;40,34;<LOD;1,5;<LOD;1,5;<LOD;1,5;216,91;18,27;533037,38;2402,64
3099;19.12.2024 14:57;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;235381,48;1034,19;7312,63;65,9;79920,05;998,35;34123,3;187,2;398,36;35,83;<LOD;1269,26;3212,34;61;6855,21;119,49;2228,79;67,32;128,18;84,38;130,5;8,55;140,98;11,86;<LOD;29,13;<LOD;13,92;25,77;5,07;72,17;2;35,98;1,86;24,11;1,65;452,82;4,53;29,54;1,63;14,78;3,04;4,29;0,63;<LOD;3,33;<LOD;1,5;<LOD;1,82;7,22;2,52;<LOD;30,56;0,36;0,15;<LOD;33,31;<LOD;94,58;<LOD;1,88;751,94;20,19;24,94;6,82;450,21;12,93;49,41;5,19;<LOD;0,57;<LOD;5,38;<LOD;3,01;33,73;4,49;310,29;18,84;196,65;15,42;<LOD;38,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;367,83;22,39;621627,56;2133,01
