Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
531;23.10.2023 11:56;TestAll Geo;330,55;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,35;2,75;194,56;3,09;<LOD;4,87;157,31;3,25;5,17;0,72;27,86;3,45;<LOD;1,91;13,82;2,94;<LOD;32,39;0,33;0,15;143,83;7,8;<LOD;35,27;32,26;8,75;120,01;16,54;<LOD;99,75;42442,21;207,78;647,32;40,8;210,52;11,46;139,21;7,32;4546,54;47,78;24,76;2,62;19853,16;130,07;27543,66;204,35;579,6;111,72;663,93;26,03;46,74;9,06;465,37;17,1;60,74;6,93;<LOD;0,78;<LOD;7,13;<LOD;4,19;44,55;6,13;264,11;23,42;188,42;19,48;612065,94;2566,24;16,94;1,62;22,99;1,85;<LOD;47,6;<LOD;1,5;<LOD;1,5;<LOD;1,5;115550,08;1397,5;1180,59;70,75;155583,84;851,01;6267,4;57,2;<LOD;1622,3
532;23.10.2023 12:02;TestAll Geo;330,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;109,36;2,77;197,54;3,11;<LOD;4,88;159,06;3,27;5,09;0,72;26,35;3,42;<LOD;2;11,91;2,88;<LOD;31,55;0,51;0,16;142,77;7,77;<LOD;34,52;36,03;8,84;131,68;16,71;<LOD;99,79;42220,75;207,58;626,92;40,33;210,13;11,58;134,35;7,37;4538,35;48,08;23,86;2,65;20136,34;132,17;27914,1;207,53;646,16;114,71;634,01;25,7;42,4;8,98;472,52;17,05;54,33;6,82;<LOD;0,76;<LOD;7,09;<LOD;4,2;36,61;5,92;267,01;23,56;158,84;19,25;606003,31;2632,99;16,56;1,62;26,52;1,9;<LOD;47,41;<LOD;1,5;<LOD;1,5;<LOD;1,5;119305,87;1450,78;1204,69;72,53;157533,05;868;6307,15;58,46;<LOD;1656,28
533;23.10.2023 12:07;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,4;2,72;192,59;3,04;<LOD;4,83;159,49;3,23;4,99;0,71;30,79;3,51;<LOD;2,02;11,54;2,93;<LOD;30,96;0,41;0,15;148,63;7,8;<LOD;34,85;39,09;8,8;124,84;16,43;<LOD;98,61;42297,05;205,29;582,74;39,21;210,98;11,61;135,85;7,35;4527,21;47,85;24,17;2,65;19948,28;131,93;27918,93;208,01;606,42;113,95;628,68;25,58;31,29;8,9;449,18;16,8;58,34;6,83;<LOD;0,76;<LOD;7;<LOD;4,09;40,57;5,98;278,89;23,43;180,81;19,27;604556,31;2650,46;15,33;1,59;23,43;1,85;<LOD;47,16;<LOD;1,5;<LOD;1,5;<LOD;1,5;119765,61;1453;1209,06;72,51;158994,64;864,78;6297,17;58,14;<LOD;1688,62
534;23.10.2023 12:13;TestAll Geo;330,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;106,77;2,73;195,35;3,07;<LOD;4,81;160,2;3,25;5,48;0,72;30,49;3,51;<LOD;2,01;11,22;2,92;<LOD;31,47;0,44;0,15;140,71;7,67;<LOD;35,12;29,29;8,59;117,42;16,37;<LOD;99,06;42090,63;205,04;593,2;39,5;205,5;11,59;135,09;7,39;4563,41;48,2;24,15;2,66;20177,24;132,88;28021,4;208,78;663,29;115,72;596,86;25,33;27,53;8,86;452,67;16,78;60,69;6,83;<LOD;0,76;<LOD;6,95;<LOD;4,18;34,48;5,84;282,05;23,48;168,67;19,16;600907,13;2658,38;16,54;1,6;23,52;1,85;<LOD;47,59;<LOD;1,5;<LOD;1,5;<LOD;1,5;122119,62;1468,05;1223,11;72,52;160037,92;868,42;6356,06;58,43;<LOD;1660,68
535;23.10.2023 12:19;TestAll Geo;330,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;105;2,72;193,98;3,07;<LOD;4,89;159,85;3,25;4,82;0,71;28,96;3,46;<LOD;1,95;11,26;2,9;<LOD;31,15;0,53;0,15;135,91;7,62;<LOD;34,92;34,02;8,73;114,54;16,39;<LOD;99,66;42328,89;206,74;587,05;39,53;215,96;11,49;137,23;7,25;4572,94;47,65;24,99;2,63;20145,9;130,82;27946,17;205,46;597,68;112,39;611,25;25,42;32,15;8,88;443,46;16,71;63,82;6,87;<LOD;0,76;<LOD;7,06;<LOD;4,14;35,97;5,87;293;23,58;179,75;19,26;600760,88;2649,3;17,45;1,61;23,97;1,86;<LOD;46,63;<LOD;1,5;<LOD;1,5;<LOD;1,5;121992,48;1460,8;1241,29;72,43;160267,73;865,8;6349,67;58,11;<LOD;1650,35
536;23.10.2023 12:30;TestAll Geo;330,55;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;160,28;2,91;168,39;2,74;<LOD;3,42;56,75;2,02;3,36;0,57;10,98;2,71;<LOD;1,65;4,8;2,22;<LOD;28,56;<LOD;0,19;29,5;4,7;<LOD;31,25;<LOD;13,62;38,45;14,3;<LOD;62,34;22423,94;143,68;335,08;30,48;16,01;7,43;104,48;5,47;3121,44;33,82;5,08;1,41;9602,21;70,5;6898,03;86,81;244,37;62,26;80,49;20,97;<LOD;10,84;229,6;13,96;<LOD;8,51;<LOD;0,64;<LOD;6,58;<LOD;3,83;23,47;5,25;127,9;19,66;71,87;16,27;596122,75;2086,26;14,32;1,45;19,74;1,46;<LOD;35,8;<LOD;1,5;<LOD;1,5;<LOD;1,5;46182,04;826,33;<LOD;83,27;298066,88;1169,92;3000,36;39,78;<LOD;1438,96
537;23.10.2023 12:39;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;150,9;2,81;163,2;2,66;<LOD;3,44;62,9;2,06;2,95;0,56;12,06;2,71;<LOD;1,64;4,9;2,22;<LOD;28,9;0,2;0,13;45,39;5,07;<LOD;31,31;<LOD;13,51;<LOD;26,67;<LOD;61,02;22191,22;141,29;392,84;31,25;<LOD;10,55;88,52;5,07;2971,82;31,84;<LOD;2,88;21196,88;99,94;6572,85;84,33;296,65;65,68;86,18;21,47;<LOD;11,28;269,53;14,64;<LOD;8,88;<LOD;0,67;<LOD;6,47;<LOD;3,81;30,7;5,54;105,81;19,19;67,68;16,06;606664,56;2124,2;17,63;1,46;17,93;1,43;<LOD;34,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;44733,58;856,88;1183,87;71,58;273225,97;1101,51;3519,12;43,76;<LOD;1553,08
538;23.10.2023 12:48;TestAll Geo;330,55;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;209,1;3,03;179,1;2,66;<LOD;3,28;59,53;1,94;3,41;0,54;9,28;2,52;<LOD;1,5;3,62;2,03;<LOD;26,49;<LOD;0,18;33,91;4,46;<LOD;27,6;<LOD;11,54;<LOD;24,27;<LOD;73,08;21212,55;132,1;286,9;27,73;<LOD;12,27;109,46;5,03;3079,81;31,23;3,92;1,51;10776,37;76,59;8396,12;96,47;307,26;68,32;56,57;19,24;<LOD;9,93;227,93;12,88;<LOD;7,92;<LOD;0,58;<LOD;5,82;<LOD;3,35;27,15;4,92;79,49;17,11;54,09;14,41;595794,69;1968,84;16,95;1,4;19,95;1,39;<LOD;33,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;48828,75;805,09;140,65;51,92;299022,47;1140,37;2401,06;34,42;<LOD;1306,51
539;23.10.2023 13:17;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;233,93;3,15;83,69;1,94;<LOD;3,49;71,1;2,1;3,04;0,55;12,62;2,68;<LOD;1,51;4,33;2,17;<LOD;26,83;0,23;0,13;39,92;4,72;<LOD;28,77;<LOD;12,15;<LOD;25,7;<LOD;72,47;19695,65;130,69;437,29;31,54;53,72;12,27;61,6;4,15;2440,94;26,39;<LOD;1,6;5792,1;55,44;8666,48;92,82;338,64;62,96;411,01;22,79;<LOD;12,3;440,39;15,68;55,87;6,39;<LOD;0,71;<LOD;6,1;<LOD;3,49;47,1;5,73;195,23;19,58;125,65;16,22;658213,13;1751,75;13,91;1,4;19,44;1,45;<LOD;33,81;<LOD;1,5;<LOD;1,5;<LOD;1,5;38267,09;659,86;229,65;48,6;254464,3;1039,65;2603,11;32,8;<LOD;1137,04
540;23.10.2023 13:25;TestAll Geo;330,18;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;229,86;3,2;82,98;1,98;<LOD;3,47;69,67;2,11;2,17;0,53;12,92;2,73;<LOD;1,57;<LOD;3,29;<LOD;27,9;0,32;0,13;43,07;4,93;<LOD;29,94;<LOD;12,85;<LOD;26,72;<LOD;75,08;20094,17;134,87;490,23;33,18;63,82;13,32;67,58;4,48;2641,05;28,51;<LOD;1,77;7207,34;61,17;8629,3;93,18;463,85;66,83;452,57;23,49;<LOD;12,57;446,67;16,05;47,87;6,45;<LOD;0,72;<LOD;6,39;<LOD;3,74;38,02;5,67;225,34;20,81;133,02;17,06;646078,81;1832,28;14,83;1,43;18,65;1,46;<LOD;32,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;40213,26;704,21;498,75;54,83;260433,2;1064,2;2908,79;35,77;<LOD;1202,03
541;23.10.2023 13:35;TestAll Geo;330,04;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;349,2;6,02;102,09;2,89;<LOD;300000;79,7;2,9;<LOD;200,23;12,36;3,97;<LOD;2,92;<LOD;7,21;<LOD;42,5;<LOD;300000;29,87;7,79;<LOD;300000;<LOD;20,27;<LOD;40,4;<LOD;101,85;28471,86;259,48;508,07;62,58;15,54;4,37;20,18;5,41;1150,57;20,07;<LOD;1,26;6489,26;43,95;4999,45;57,6;353,85;44,78;395,39;37,07;<LOD;15,07;237,06;19,31;<LOD;11,79;<LOD;0,87;<LOD;9,57;<LOD;5,75;30,12;7,44;130,64;26,7;88,91;22,35;557516,69;2897,16;17,74;1,91;21,35;1,97;<LOD;47,67;<LOD;1,5;<LOD;1,5;<LOD;1,5;52725,05;1129,78;325,61;95,76;317682,81;1467,61;5600,02;68,12;<LOD;2123,29
542;23.10.2023 13:45;TestAll Geo;330,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;179,3;3,19;204,98;3,12;<LOD;3,74;63,13;2,2;3,58;0,61;10,42;2,82;<LOD;1,85;7,97;2,39;<LOD;30,47;<LOD;0,2;46,45;5,58;<LOD;34,71;21,33;8,54;25,83;15,33;<LOD;78,08;32894,79;180,87;511,93;36,14;46,88;7,97;121,98;6,41;3592,69;39,24;<LOD;2,22;10214,75;76,11;8540,68;99,28;254,43;68,22;446,43;27,93;<LOD;10,75;141,24;13,85;<LOD;8,61;<LOD;0,64;<LOD;6,84;<LOD;4,02;21,01;5,48;96,29;19,4;43,24;15,96;544150;2381,23;18,35;1,56;21,22;1,56;<LOD;38,13;<LOD;1,5;<LOD;1,5;<LOD;1,5;56270,1;990,01;233,28;65,82;323599,06;1263,84;3013,93;42,99;<LOD;1686,46
543;23.10.2023 13:51;TestAll Geo;330,43;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;175,01;2,86;192,69;2,76;<LOD;3,34;60,67;1,96;3,3;0,54;11,01;2,57;<LOD;1,5;<LOD;4,82;<LOD;26,36;0,19;0,12;37,55;4,7;<LOD;28,08;<LOD;11,92;<LOD;24,31;<LOD;82,63;30560,87;158,5;425,04;31,2;55,2;9,76;112,9;5,6;3248,3;34,23;5,36;1,83;12279,34;92,64;11264;124,07;322,35;82,97;193,83;20,12;<LOD;10,28;268,3;13,29;<LOD;8,13;<LOD;0,61;<LOD;5,86;<LOD;3,38;30,22;5,02;128,86;17,93;71,74;14,83;576393,19;2039,27;15,68;1,38;17,7;1,36;<LOD;33,99;<LOD;1,5;<LOD;1,5;<LOD;1,5;52912,79;847,78;221,4;51,48;301590,19;1111,22;2337,74;33,89;<LOD;1398,44
544;23.10.2023 13:59;TestAll Geo;330,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;180,83;3,03;199,82;2,92;<LOD;3,56;62,89;2,08;3,87;0,58;8,08;2,61;<LOD;1,63;6;2,16;<LOD;28,28;<LOD;0,19;36,52;4,96;<LOD;30,58;<LOD;13,05;<LOD;26,29;<LOD;88;32734,11;170,97;381,41;31,87;50,5;8,89;124,59;5,99;3388,95;36,38;3,27;1,71;12088,7;87,24;9955,67;112,06;369,12;78,21;508,35;26,77;<LOD;10,06;181,89;13,07;<LOD;7,98;<LOD;0,6;<LOD;6,29;<LOD;3,69;22,43;5,05;83,16;18,21;38,78;15,1;579153,63;2124,6;17,98;1,47;21,31;1,48;<LOD;37,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;51981,09;880,27;177,77;56,56;294629,38;1132,82;2667,13;37,56;<LOD;1476,73
