Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
329;09.10.2023 08:41;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;497,63;321,13;56,04;1099,5;172,35;741,88;118,13;792,37;77,62;1433,27;258,79;<LOD;135,21;<LOD;389,19;2264,01;652,36;26,11;8,7;313,71;120,4;6561,22;1235,98;620,14;202,05;<LOD;352,49;1888,16;518,78;<LOD;719,71;8043,68;1429,87;<LOD;580,12;336,63;125,95;1315,31;383,13;48,71;23,82;913,87;492,91;1221,05;725,55;<LOD;35190,64;<LOD;2174,44;2632,47;1334,82;11405,51;3909,68;5188,51;1896,96;339,1;145,5;<LOD;456,68;<LOD;460,41;7117,67;2878,08;<LOD;1112,88;<LOD;1113,7;883350,44;54868,88;<LOD;151,09;131,95;69,94;<LOD;5202,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;17880,31;<LOD;8056,58;<LOD;6261,64;<LOD;677,14;<LOD;70822,95
330;09.10.2023 08:47;TestAll Geo;331,13;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;521,51;342,79;60,41;1060,85;177,17;780,16;123,61;829,19;81,99;1480,71;273,09;<LOD;137,09;<LOD;406,5;<LOD;316,67;31,64;9,53;356,57;132,65;5285,07;1167,68;623,2;210,19;438,57;254,64;1401,09;452,81;<LOD;767,67;8230,17;1488,22;<LOD;558,62;223,51;110,33;1163,21;361,99;56,2;24,26;743,75;457,23;1498,11;819,76;6295,23;2864,56;<LOD;2113,42;5555,21;2000,94;13975,17;5048,62;5667,81;2430,09;528,77;207,66;<LOD;652,79;<LOD;461,14;8539,33;3691,42;<LOD;1109,38;<LOD;1154,58;896667,25;48974,34;<LOD;157,9;175,76;75,46;<LOD;5440,41;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;18986,28;<LOD;8472,77;<LOD;8808,38;<LOD;763,87;<LOD;56577,2
331;09.10.2023 08:53;TestAll Geo;330,57;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;485,91;259,27;47,44;1189,62;176,69;899,94;124,22;763,95;74,94;1465,6;253,2;<LOD;132,43;<LOD;377,66;2218,2;623,67;28,19;8,84;362,19;124,7;6796,76;1230,51;508,07;177,01;<LOD;347,36;2340,82;568,8;<LOD;560,4;6969,52;1307,96;830,97;180,32;195,99;92,45;863,69;273,83;55,89;20,76;764,54;400,95;1248,82;655,35;<LOD;17858,84;<LOD;2218,9;1657,85;801,92;7356,19;2312,62;2767,23;1071,34;336,52;101,23;<LOD;578,07;<LOD;430,61;3263,32;1442,85;<LOD;1121,07;<LOD;1193,62;923572,69;27824,13;<LOD;148,64;185,57;71,75;<LOD;5063,88;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;11487,99;<LOD;4239,05;<LOD;3321,08;<LOD;392,49;<LOD;33873,84
332;09.10.2023 08:58;TestAll Geo;330,78;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;363,82;55,93;568,38;58,33;1202,62;144,54;323,25;82,18;236,68;36,72;592,17;137,23;176,26;69,16;<LOD;168,08;445,57;148,17;17,92;6,42;849,97;190,01;<LOD;656,4;490,35;175,46;<LOD;361,76;1463,82;394,08;1753,05;532,94;<LOD;632,95;583,95;41,69;384,71;48,24;4446,22;198,39;28,77;8,14;24028,64;402,05;29542,01;598,31;663,88;206,71;594,41;25,54;19,9;8,9;459,61;16,99;55,78;6,85;<LOD;0,76;<LOD;9,57;<LOD;5,71;42,67;6,06;340,03;37,53;215,67;28,82;497007,09;36001,28;381,73;61,9;319,54;58,24;<LOD;2438,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;175505,84;15861,93;2114,86;214,69;211947,48;15640,96;7547,8;697,42;<LOD;1951,12
333;09.10.2023 09:04;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,54;2,77;208,36;3,18;<LOD;4,91;161,6;3,28;5,38;0,73;32,86;3,58;<LOD;1,98;10,91;2,97;<LOD;32,01;0,39;0,15;172,17;8,3;<LOD;35,32;30,98;8,69;114,19;16,48;<LOD;101,31;44317,55;211,61;647,3;40,79;206,95;11,48;131,89;7,3;4699;48,66;26,04;2,81;23086,27;140,32;29003,44;210,95;745,15;118,39;614,74;25,64;32;8,95;459,69;16,98;59,58;6,89;<LOD;0,76;<LOD;6,96;<LOD;4,05;45,72;6,12;287,08;23,17;159,91;18,75;528512,63;3085,6;15,32;1,6;23,28;1,86;<LOD;48,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;160324,14;1766,89;1793,34;78,87;187287,77;931,11;6398,52;59,2;<LOD;1782,11
334;09.10.2023 09:10;TestAll Geo;330,48;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;110,94;2,78;211,77;3,19;<LOD;4,9;162,06;3,27;5,19;0,72;29,49;3,51;<LOD;2,12;11,68;2,93;<LOD;30,78;0,44;0,15;173,64;8,29;<LOD;34,98;35,13;8,77;118,89;16,39;<LOD;100,13;44317,2;211,06;651,27;40,69;209,41;11,67;137,51;7,49;4719,68;49,39;28,04;2,86;22986,32;141,93;29236,59;214,49;582,01;116,12;592,87;25,53;17,46;8,89;457,24;16,97;52,92;6,83;<LOD;0,76;<LOD;7,07;<LOD;4,16;39,49;6;251,91;23,18;165,44;19,14;521883,84;3097,3;17,48;1,62;25,7;1,89;<LOD;47,51;<LOD;1,5;<LOD;1,5;<LOD;1,5;164319,25;1786,82;1856,01;79,41;189385,09;931,53;6449,27;59,25;<LOD;1756,07
335;09.10.2023 09:16;TestAll Geo;330,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,2;2,81;211,79;3,25;<LOD;4,96;163,79;3,35;5,58;0,74;27,37;3,49;<LOD;2,02;13,68;2,97;<LOD;31,62;0,34;0,15;161,06;8,22;<LOD;35,97;28,56;8,77;117,86;16,7;<LOD;102,46;44489,66;214,94;652,72;41,41;213,21;11,68;146,83;7,48;4685,44;49,14;25,26;2,84;23245,64;142,22;29301,24;214,09;751,11;119,89;643,42;26,13;23,03;9,03;458,38;17,18;63,87;7,02;<LOD;0,78;<LOD;7,1;<LOD;4,28;35,78;6;260,78;23,22;164,63;19,08;519171,72;3161,75;17,22;1,64;25,19;1,92;<LOD;49,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;165740,11;1807,72;1889,24;79,47;190290,86;940,26;6471,73;59,54;<LOD;1808,95
336;09.10.2023 09:21;TestAll Geo;330,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,41;2,81;211,74;3,25;<LOD;5,04;162,05;3,34;5,52;0,74;28,48;3,54;<LOD;2,1;9,98;2,92;<LOD;32,15;0,3;0,15;178,26;8,52;<LOD;35,41;32,71;8,87;125,68;16,83;<LOD;102,54;44594,23;215,49;631,99;41,25;209,22;11,65;144,59;7,46;4629,45;48,81;22,85;2,83;23273,98;142,28;29334,45;214,15;652,73;117,53;618,67;25,87;19,67;8,97;455,7;17,08;63,12;6,98;<LOD;0,77;<LOD;7,07;<LOD;4,16;40,49;6,06;250,96;23,05;158,84;18,97;515952,47;3192,91;17,04;1,64;24,76;1,91;<LOD;48,93;<LOD;1,5;<LOD;1,5;<LOD;1,5;167673,16;1830,8;1992,33;80,92;191459,2;946,13;6514,91;60,06;<LOD;1821,52
337;09.10.2023 09:27;TestAll Geo;330,06;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,37;2,8;209,05;3,21;<LOD;4,97;161,56;3,31;5,38;0,73;29,31;3,54;<LOD;2,1;11,73;2,96;<LOD;31,32;0,27;0,15;170,52;8,36;<LOD;36,38;27,68;8,73;130,22;16,82;<LOD;102,21;44603,65;214,3;675,93;41,66;205,62;11,46;138,64;7,39;4678,73;48,61;26,71;2,82;23331,41;140,82;29306,09;211,65;645,49;116,08;575,95;25,33;15,82;8,84;455,46;16,89;54,18;6,81;<LOD;0,76;<LOD;7,01;<LOD;4,12;41,87;6,02;257,71;23,26;137,96;18,86;511847,5;3195,48;17,14;1,63;25,2;1,9;<LOD;48,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;170076,56;1839,8;1906,35;80,07;193159,02;944,88;6527,34;59,9;<LOD;1808,27
338;09.10.2023 09:33;TestAll Geo;330,54;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;105,29;2,73;210,58;3,18;<LOD;4,97;163,32;3,27;5,17;0,71;26,49;3,4;<LOD;1,96;13,82;2,9;<LOD;31,57;0,32;0,15;177,52;8,34;<LOD;35,05;45,35;8,95;120,75;16,42;<LOD;100,51;44481,16;210,82;665,97;40,9;209,27;11,71;136,51;7,43;4673,75;49,06;26,06;2,87;23290,01;143,24;29470,65;215,94;583,96;116,72;606,39;25,69;33,38;8,99;458,79;17,04;57,79;6,9;<LOD;0,77;<LOD;7,06;<LOD;4,06;37,4;5,97;268,69;23,27;160,93;19,01;511009,09;3174,42;17,52;1,61;23,96;1,86;<LOD;47,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;171236,28;1839,75;1878,81;79,76;192893,08;938,01;6521,01;59,67;<LOD;1790,46
