Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
842;09.11.2023 10:20;TestAll Geo;0,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;<LOD;479,82;<LOD;135,88;<LOD;300000;<LOD;74,49;6101,11;1672,3;<LOD;482,93;<LOD;95,92;<LOD;3,59;<LOD;3769,93;<LOD;300000;<LOD;758,35;<LOD;300000;<LOD;30176,07;<LOD;1136,73;<LOD;458,67;<LOD;970,63;<LOD;1240,61;<LOD;25118,56;<LOD;36552,14;<LOD;1,5;<LOD;10325,6;<LOD;207,64;<LOD;967,17;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;2818,8;<LOD;2135,4;<LOD;13385,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843;09.11.2023 10:27;TestAll Geo;330,33;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;109,81;2,75;198,58;3,1;<LOD;4,87;160,58;3,24;4,49;0,7;29,69;3,46;<LOD;1,82;12,83;2,93;<LOD;30,33;0,27;0,14;135,7;7,59;<LOD;34,87;32,84;8,68;116,35;16,31;<LOD;99,18;42540,5;206,6;603,37;39,68;<LOD;7,11;<LOD;4,21;537850,38;2996,36;16,7;1,6;24,29;1,86;<LOD;46,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;219,68;11,7;135,14;7,35;4645,3;48,47;25,09;2,72;21130,2;135,51;28496,97;210,17;323,59;107,93;655,93;25,61;33,77;8,87;477,13;16,95;53,85;6,77;<LOD;0,75;40,59;5,96;276,65;23,57;164,68;19,25;159114,03;1730,44;1395,54;72,64;186138,8;927,19;4670,78;50,55;<LOD;1697,07
844;09.11.2023 10:37;TestAll Geo;330,51;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;803,8;6,33;471,36;4,9;<LOD;5,34;135,07;3,19;7,84;0,85;40,97;4,07;<LOD;2,11;<LOD;6,71;<LOD;33,83;0,53;0,17;84,93;6,84;<LOD;36,03;<LOD;14,8;<LOD;29,72;86,73;54,54;32343,49;188,79;480,01;39,11;<LOD;7,22;<LOD;4,27;634447,56;2250,33;34,58;1,9;40,51;2,11;<LOD;52,71;<LOD;1,5;<LOD;1,5;<LOD;1,5;24,29;8,1;195,57;7,03;6327,54;53,01;<LOD;1,5;3683,08;52,66;15893,31;130,56;<LOD;145,6;2078,52;33,91;73,68;9,54;481,52;17,81;60,49;7,14;<LOD;0,79;28,65;6;352,89;25,69;224,42;20,96;91267,66;1102,65;4596,79;87,3;197600,86;991,72;316,16;23,24;<LOD;1311,08
845;09.11.2023 10:53;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;275,39;3,67;228,13;3,21;<LOD;5,01;179,07;3,39;8,84;0,8;35,35;3,59;<LOD;1,89;<LOD;6,13;<LOD;28,63;0,28;0,14;67,14;5,8;<LOD;30,7;<LOD;13,04;<LOD;27,18;<LOD;87,35;31375,47;172,37;426,92;34,39;<LOD;6,28;<LOD;3,59;528168,69;2625,74;36,64;1,8;29,56;1,94;<LOD;51,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;64,25;10,22;248,01;7,49;6593,01;53,93;<LOD;2,21;6945,87;79,45;29682,4;194,7;<LOD;131,26;2062,4;30,02;<LOD;11,79;380,8;14,88;28,15;5,99;<LOD;0,67;38,5;5,44;226,54;20,98;139,23;17,25;111114,45;1286,56;11070,46;128,94;265026,41;1109,45;314,42;23,4;<LOD;1527,45
846;09.11.2023 11:05;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;370,36;4,86;243,79;3,89;<LOD;6,13;199,53;4,23;12;1,04;47,97;4,64;<LOD;2,87;6,29;3,67;<LOD;39,36;0,38;0,18;75,66;7,45;<LOD;43,22;68,22;11,63;70,88;19,58;<LOD;110,53;39872,21;227,7;559,43;44,27;<LOD;8,52;<LOD;4,96;552866,75;2959,38;40,04;2,19;38,84;2,45;<LOD;66,45;<LOD;1,5;<LOD;1,5;<LOD;1,5;46,38;6,45;239,42;8,11;3649,32;43,33;<LOD;1,35;4094,01;49,01;18325,78;123,39;122,28;58,48;1504,49;34,4;<LOD;13,82;273,3;17,45;<LOD;10,63;<LOD;0,79;23,22;6,39;186,23;26,59;82,93;21,52;97113,75;1372,18;7395,49;126,21;246466,64;1219,04;594,95;32,94;<LOD;1875,88
847;09.11.2023 11:16;TestAll Geo;330,34;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;291,11;3,79;185,11;2,97;<LOD;4,9;161,28;3,29;8,43;0,8;38,54;3,72;<LOD;1,87;<LOD;6,21;<LOD;29,63;0,48;0,15;60,36;5,69;<LOD;31,71;34,91;8,34;109,06;15,55;<LOD;82,39;24677,16;156,25;524,27;36,54;<LOD;6,38;<LOD;3,67;568391,75;2456,6;33,48;1,79;26,11;1,9;<LOD;50,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;35,66;9,21;154,58;6,49;5640,84;48,68;<LOD;1,94;5769,09;70,41;25259,55;174,4;<LOD;117,24;2511,37;31,66;56,6;8,31;441,67;15,33;50,54;6,18;<LOD;0,69;38,61;5,44;331,26;23,01;212,57;18,83;103176,49;1190,62;4227,17;83,14;251281,7;1124,63;320,09;22,64;<LOD;1377,07
848;09.11.2023 11:29;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;364,64;4,08;153,21;2,7;<LOD;4,76;151,25;3,16;8,65;0,79;27,87;3,42;<LOD;1,89;5,49;2,71;<LOD;30,2;0,38;0,15;60,26;5,68;<LOD;31,91;<LOD;12,79;<LOD;27,51;<LOD;84,04;27489,61;163,16;624,77;38,02;<LOD;6,45;<LOD;3,72;575975,19;2452,25;40,82;1,84;33,45;1,93;<LOD;49,45;<LOD;1,5;<LOD;1,5;<LOD;1,5;53,85;9,06;133,2;6,43;5875,97;49,53;<LOD;2;6672,5;71,31;20932,92;156,82;161,59;77,67;1207,84;26,44;<LOD;12,11;410,4;15,19;39,73;6,12;<LOD;0,68;28,29;5,27;353,67;22,97;211,57;18,57;101790,52;1203,82;5538,58;95,38;244188,27;1101;371,99;23,88;<LOD;1422,99
849;09.11.2023 11:45;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;390,49;4,39;180,08;3,02;<LOD;5,18;169,93;3,47;9,63;0,86;32,89;3,73;<LOD;2,16;<LOD;6,74;<LOD;31,37;0,33;0,15;61,28;6,05;<LOD;34,59;<LOD;13,98;<LOD;29,46;<LOD;92,2;32023,44;183,01;558,17;38,94;<LOD;7,08;<LOD;4,08;567480,19;2557,52;41,22;1,94;37,4;2,1;<LOD;54,08;<LOD;1,5;<LOD;1,5;<LOD;1,5;36,85;7,77;141,27;6,46;5945,76;50,2;<LOD;1,63;4995,34;58,7;19811,52;141,04;171,73;69,22;1113,56;27,83;<LOD;12,77;384,15;16,05;33,92;6,5;<LOD;0,72;34,21;5,76;321,2;24,16;193,16;19,61;99746,45;1230,44;6122,36;102,94;248766,69;1117,11;426,62;25,75;<LOD;1486,75
850;09.11.2023 11:59;TestAll Geo;330,27;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;443,09;5,05;170,62;3,23;<LOD;5,57;172,02;3,83;9,57;0,94;35,78;4,16;<LOD;2,57;<LOD;7,39;<LOD;36,83;<LOD;0,25;62,37;6,78;<LOD;41,8;<LOD;14,92;94,65;19,19;<LOD;99,37;31062,62;197,32;763,36;46,19;<LOD;8,37;<LOD;4,98;543312,94;2917,19;44,81;2,16;32,91;2,25;<LOD;59,09;<LOD;1,5;<LOD;1,5;<LOD;1,5;19,21;5,5;124,07;6,44;3117,69;33,89;<LOD;1,12;3393,85;40,64;13787,25;99,56;<LOD;202,14;694,41;29,49;<LOD;13,68;270,47;17,33;<LOD;10,49;<LOD;0,8;26,18;6,43;221,14;26,22;113,26;21,23;102338,52;1369,64;4653,58;105,39;272071,63;1290,79;613,48;32,15;<LOD;1754,63
851;09.11.2023 12:06;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;699,49;5,68;266,55;3,63;<LOD;4,67;113,68;2,84;5,61;0,74;30,75;3,64;<LOD;2,02;4,49;2,88;<LOD;30,68;0,36;0,15;63,04;6,03;<LOD;34,72;<LOD;14,11;97,03;16,38;<LOD;84,64;26219,36;165,57;347,46;34,54;<LOD;6,65;<LOD;3,9;565066,06;2586,33;27,89;1,73;26,11;1,82;<LOD;45,47;<LOD;1,5;<LOD;1,5;<LOD;1,5;54,29;8,69;336,86;8,02;7279,82;56,87;2,58;1,36;7623,68;69,49;17245,35;134,95;<LOD;98,94;2430,57;33,8;<LOD;12,88;372,87;16,04;24,55;6,43;<LOD;0,72;34,76;5,81;246,73;22,8;137,47;18,56;101919,88;1239,1;14765,45;152,96;244569,83;1063,01;259,25;24,27;<LOD;1581,54
