Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1743;25.03.2024 11:04;TestAll Geo;330,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;108,9;2,76;197,79;3,11;<LOD;4,9;158,55;3,24;4,74;0,7;27,74;3,45;<LOD;2;10,97;2,88;<LOD;31,17;0,43;0,15;143,73;7,77;<LOD;34,45;29,8;8,66;126,61;16,56;<LOD;100;42942,5;208,69;653,18;40,83;199,55;11,69;138,87;7,47;4641,96;48,8;26,26;2,72;20578,27;135,43;29438,56;215,36;399,24;111,26;666,28;25,89;37,27;8,97;466,02;17;71,69;6,98;<LOD;0,76;<LOD;6,9;<LOD;4,21;38,39;5,96;291,77;23,54;174,55;19,18;538747,06;2985,49;15,35;1,59;24,16;1,87;<LOD;46,74;<LOD;1,5;<LOD;1,5;<LOD;1,5;157289,05;1713,28;1545,59;74,47;183136,61;915,38;7861,34;64,96;<LOD;1697,97
1744;25.03.2024 11:10;TestAll Geo;330,2;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;479,29;5,04;219,88;3,48;<LOD;5,06;129,02;3,25;9,54;0,88;29,13;3,79;<LOD;2,15;5,61;3,02;<LOD;32,69;0,38;0,16;78,66;7,04;<LOD;36,53;38,08;9,28;89,6;17,38;<LOD;113,64;53266,54;246,86;815,72;47,44;170,65;12,15;161,05;7,95;7334,29;62,07;4,25;1,75;7676,33;89,48;19490,5;181,6;<LOD;145,24;1353,85;28,03;45,07;8,58;456,89;16,11;47,68;6,42;<LOD;0,72;<LOD;6,7;<LOD;3,83;42,21;5,74;380,15;24,01;228,55;19,39;514246,81;2747,8;48,72;2,1;42,34;2,16;<LOD;56,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;121881,99;1377,05;2011,69;65,94;267240,97;1148,44;803,97;25,11;<LOD;1491,05
1745;25.03.2024 11:20;TestAll Geo;330,03;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;398,23;4,6;300,84;3,92;6,05;3,31;117,82;3,03;8,61;0,83;29,93;3,7;<LOD;2,14;<LOD;4,37;<LOD;32,75;0,42;0,16;65,18;6,45;<LOD;35,14;32,48;9,03;88,6;17;<LOD;106,27;45955,91;223,23;504,24;40,2;134,54;10,73;158,71;7,88;7095,66;60,62;3,26;1,6;7595,13;83,43;19831,38;171,24;210,19;91,17;1091,08;27,34;18,91;8,63;428,96;16,21;45,63;6,52;<LOD;0,72;<LOD;7,01;<LOD;4,06;34,95;5,71;353,41;24,64;217,04;20,01;559647,13;2554,35;45,99;2,01;41,3;2,06;<LOD;52,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;101013,55;1232;3393,97;80,36;244631,59;1066,44;486,12;24,84;<LOD;1510,29
1746;25.03.2024 11:32;TestAll Geo;330,47;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;389,82;4,7;337,06;4,24;5,53;3,41;119,46;3,11;7,92;0,83;29,84;3,77;<LOD;2,23;<LOD;4,46;<LOD;33,6;0,36;0,16;59,61;6,57;<LOD;37,54;<LOD;15,12;75,19;17,68;118,17;68,27;49695,4;237,48;565,03;42,38;119,26;9,72;160,23;8,04;7015,82;61,08;3,67;1,47;6956,95;75,73;17060,21;152,26;124,3;81,1;1148,36;29,93;16,63;9,35;438,3;17,66;46,36;7,08;<LOD;0,79;<LOD;7,4;<LOD;4,4;30,97;6,1;317,42;25,59;207,52;20,99;573228,25;2580,01;44,57;2,05;46,23;2,17;<LOD;53,86;<LOD;1,5;<LOD;1,5;<LOD;1,5;92073,61;1228,41;3755,05;88,71;236541,52;1086,63;588,79;27,73;<LOD;1632,18
1747;25.03.2024 12:07;TestAll Geo;330,3;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;400,99;4,55;260,67;3,63;6,32;3,29;124,8;3,08;9,38;0,84;29,57;3,67;<LOD;2,12;<LOD;4,29;<LOD;31,27;0,43;0,16;70,1;6,53;<LOD;34,8;38,81;9,06;<LOD;29,41;<LOD;105,87;47929,07;225,92;538,43;40,61;145,05;10,92;174,92;7,97;7299,19;61,13;2,45;1,57;7168,6;82,04;20606,57;174,64;<LOD;133,59;1425,47;29,27;31,54;8,79;424,23;16,36;53,67;6,67;<LOD;0,74;<LOD;6,96;<LOD;4,02;38,22;5,84;370,13;24,62;241,65;20,1;550436,75;2604,35;45,97;2;39,32;2,04;<LOD;54,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;104642,82;1276,13;2360,53;73,11;249225,89;1077,5;666,56;26,32;<LOD;1526,57
1748;25.03.2024 12:13;TestAll Geo;330,02;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;389,09;4,93;189,08;3,47;<LOD;5,24;124,15;3,4;8,26;0,9;28,71;4,03;<LOD;2,73;<LOD;7,18;<LOD;38,1;0,49;0,18;63,34;7,31;<LOD;44,53;21,8;10,7;66,83;19,87;<LOD;109,13;49101,22;254,26;608,35;46,58;94,72;7,44;156,61;8,3;4317,36;46,71;2,17;1,05;4536,86;54,73;13402,39;119,35;<LOD;200,45;896,78;32,72;<LOD;16,02;417,36;20,05;48,22;8,15;<LOD;0,92;<LOD;8,7;<LOD;5,21;39,44;7,23;337,8;29,39;224,92;24,1;552219,19;2916,38;45,44;2,22;43,41;2,32;<LOD;57,79;<LOD;1,5;<LOD;1,5;<LOD;1,5;106624,76;1429,05;261,2;69,02;246302,36;1245,72;827,9;33,6;<LOD;1793,96
1749;25.03.2024 12:20;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;404,84;4,51;205,95;3,25;5,82;3,23;122,82;3,04;8,57;0,82;25,48;3,51;<LOD;1,98;4,24;2,79;<LOD;31,78;0,38;0,15;61,46;6,34;<LOD;35,26;40,02;9,08;86,96;16,77;<LOD;106,66;48422,44;226,8;615,13;41,8;131,45;10,8;156,1;7,81;6927,05;59,38;4,43;1,61;7296,53;83,71;21706,96;180,47;<LOD;136,17;995,32;27,03;<LOD;12,97;416,1;16,21;39,08;6,51;<LOD;0,73;<LOD;6,92;<LOD;4,03;36,54;5,78;345,43;24;209,67;19,45;564738,06;2502,08;46,2;1,99;43,72;2,08;<LOD;52,74;<LOD;1,5;<LOD;1,5;<LOD;1,5;102637,21;1237,11;1423,19;63,3;236551,72;1059,26;979,04;27,33;<LOD;1467,29
1750;25.03.2024 12:26;TestAll Geo;330,57;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;395,49;5,11;249,45;4,02;<LOD;5,55;123,52;3,48;9,33;0,95;27,18;4,08;<LOD;2,82;<LOD;7,41;<LOD;39,68;0,45;0,18;61,37;7,49;<LOD;45,52;30,6;11,22;74,98;20,65;<LOD;117,09;54720,72;273;730,37;50,09;97,67;7,51;172,12;8,51;4175,65;46,78;2,57;1,14;5434,1;59,05;13434,56;120,2;134,95;65,56;728,63;31,37;<LOD;15,25;370,08;19,38;30,27;7,86;<LOD;0,86;<LOD;8,9;<LOD;5,3;32,8;6,98;298,38;29,18;165,82;23,56;569768,25;2909,66;45,86;2,27;42,81;2,35;<LOD;61,04;<LOD;1,5;<LOD;1,5;<LOD;1,5;96063,06;1379,13;3741,23;100,75;228551,83;1176,59;1129,76;35,74;<LOD;1922,39
1751;25.03.2024 12:36;TestAll Geo;330,34;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;372,98;4,37;204,43;3,24;<LOD;4,8;125,98;3,06;7,55;0,79;24,62;3,5;<LOD;2,15;<LOD;6,2;<LOD;31,1;0,31;0,15;78,94;6,7;<LOD;34,91;48,51;9,48;86,91;17,03;<LOD;93,37;44213,75;217,29;663,07;42,21;92,17;8,88;171,51;7,51;6532,36;56,1;<LOD;2,47;10540,8;86,28;20088,85;156,1;<LOD;117,84;851,14;27,45;<LOD;13,24;399,75;16,78;36,08;6,75;<LOD;0,75;<LOD;7,3;<LOD;4,26;33,5;5,96;327,18;25,13;176,06;20,15;571827,38;2576,43;46,47;1,99;38,78;2,03;<LOD;50,85;<LOD;1,5;<LOD;1,5;<LOD;1,5;92853,89;1239,48;5062,34;99,06;232811,44;1064,07;600,91;27,93;<LOD;1664,44
1752;25.03.2024 12:45;TestAll Geo;330,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;356,29;4,33;204,63;3,27;<LOD;4,88;124,54;3,08;8,3;0,82;19,28;3,37;<LOD;2,12;6,52;2,74;<LOD;31,96;0,43;0,16;76,78;6,73;<LOD;35,58;45,04;9,49;84,42;17,11;<LOD;95,2;45518,04;222,33;615,95;41,91;97,94;9,08;172,52;7,58;6563,64;56,72;2,46;1,6;9630,58;84,08;19868,86;157,2;<LOD;117,74;963,29;28,5;<LOD;13,73;412,44;17,17;46,68;6,99;<LOD;0,78;<LOD;7,34;<LOD;4,35;40,1;6,21;332,29;25,02;194,25;20,22;593815,38;2484,56;43,49;1,97;36,82;2,02;<LOD;51,75;<LOD;1,5;<LOD;1,5;<LOD;1,5;87621,44;1189,65;4275,05;92,75;217459,05;1029,04;594,49;27,71;<LOD;1609,51
