Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
2196;18.06.2024 16:25;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;187679,88;935,18;4627,74;57,52;163583,48;1793,42;43664,6;209,83;624,97;40,3;<LOD;1810,55;21975,56;169,49;29361,22;261,68;1761,71;78,3;523,04;139,19;135,58;8,97;217,21;14,27;133,99;16,59;<LOD;13,97;157,07;8;205,88;3,16;160,9;3,28;15,47;1,6;106,86;2,75;24,04;1,87;29,73;3,5;5,94;0,74;<LOD;4,98;<LOD;1,5;<LOD;1,93;10,27;2,9;<LOD;31,65;0,39;0,15;<LOD;34,78;<LOD;99,79;22,91;3,37;627,7;20,89;31,33;7,27;460,13;13,8;59,37;5,59;<LOD;0,62;<LOD;5,57;<LOD;3,15;40,63;4,89;265,31;18,84;171,89;15,51;<LOD;48,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;8872,13;70,46;524255,22;3133,37
2197;20.06.2024 10:12;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;181139,27;910,24;4600,24;56,59;155100,83;1709,79;43181,24;206,97;623,14;39,83;<LOD;1759,79;21734,62;167,65;29498,21;260,58;1620,19;75,77;373,94;134,11;134,93;8,86;215,73;14,23;105,1;16,02;26,26;8,46;158,19;7,95;204,15;3,12;159,39;3,22;16,57;1,59;107,49;2,73;24,88;1,85;26,36;3,38;4,99;0,7;<LOD;4,85;<LOD;1,5;<LOD;1,95;11,11;2,83;<LOD;30,77;0,43;0,15;<LOD;34,33;<LOD;98,97;25,91;3,36;640,53;20,81;32,59;7,23;457,49;13,69;60,82;5,56;<LOD;0,61;<LOD;5,45;<LOD;3,09;36,87;4,79;278,5;18,77;171,1;15,35;<LOD;46,27;<LOD;1,5;<LOD;1,5;<LOD;1,5;8668,32;68,68;540960,75;3000,68
2198;20.06.2024 10:21;TestAll Geo;330,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;254303,78;1047,31;3263,26;36,83;83074,49;956,93;22970,73;148,71;844,83;40,96;<LOD;1152,96;5173,67;61,55;5181,15;89,66;2816,18;68,26;<LOD;130,74;101,32;5,78;69,17;15,53;106,85;15,53;<LOD;13,42;<LOD;7,31;114;2,35;25,02;1,61;15,03;1,46;549,69;4,79;16,18;1,36;14,22;2,9;2,82;0,56;<LOD;3,11;<LOD;1,5;<LOD;1,67;4,29;2,35;<LOD;28,23;0,49;0,15;<LOD;30,95;<LOD;79,76;2,41;1,24;1255,26;23,3;41,32;7,26;484,97;13,83;70,87;5,63;<LOD;0,62;<LOD;5,13;<LOD;2,85;49,62;4,99;233,86;17,47;146,89;14,39;<LOD;33,52;<LOD;1,5;<LOD;1,5;<LOD;1,5;790,44;22,99;611781,94;2067,53
2199;20.06.2024 10:34;TestAll Geo;330,08;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;271390,13;1150,75;4117,15;43,7;100087,33;1160,96;24934,05;158,18;781,66;40,71;<LOD;1350,69;4586,7;56,86;5843,7;91,17;2037,25;70,66;<LOD;155,38;115,85;6,59;16,05;8,12;122,69;16,43;<LOD;13,9;31,23;5,03;114,6;2,41;30,14;1,71;16,22;1,52;565,03;4,96;18,22;1,43;11,79;2,88;3,59;0,6;<LOD;3,11;<LOD;1,5;<LOD;1,75;5,44;2,38;<LOD;29,81;0,31;0,14;<LOD;33,4;<LOD;82,64;2,49;1,15;706,73;21,6;<LOD;10,35;357,95;13,32;20,65;5,36;<LOD;0,59;<LOD;5,45;<LOD;3,09;36,51;4,9;162,85;17,34;105,55;14,43;<LOD;35,88;<LOD;1,5;<LOD;1,5;<LOD;1,5;752,79;26,62;574023,13;2369,63
2200;20.06.2024 10:40;TestAll Geo;330,32;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;264221,66;1166,16;3355,79;38,61;83287,82;1045,98;26365,69;167,06;439,77;36,01;<LOD;1366,69;4644,54;53,74;4389,83;77,67;3598,07;82,71;<LOD;158,33;98,62;6;<LOD;10,77;109,81;16,98;<LOD;14,95;19,09;4,86;131,51;2,63;28,49;1,76;15,79;1,56;638,43;5,4;21,16;1,52;11,48;2,99;<LOD;154,25;<LOD;3,33;<LOD;1,5;<LOD;1,95;8,11;2,53;<LOD;32,13;0,38;0,15;<LOD;34,28;<LOD;86,65;2;1,08;861,67;23,26;<LOD;11,09;396,73;14,2;35,12;5,74;<LOD;0,64;<LOD;5,78;<LOD;3,25;36,29;5,12;200,81;18,74;107,97;15,3;<LOD;37,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;1018,63;27,95;596706,63;2271,06
2201;20.06.2024 10:48;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;262562,38;1094,88;3339,84;37,54;83109,66;966,02;21808,93;142,22;418,45;32,65;<LOD;1195,92;5129,62;64,97;6126,04;100,73;4933,13;83,01;157,99;71,89;107,79;5,92;<LOD;13,91;94,93;14,65;<LOD;12,49;<LOD;7,04;111,01;2,27;21,79;1,5;13,91;1,43;326,18;3,76;18,03;1,34;9,3;2,67;3,32;0,56;<LOD;2,95;<LOD;1,5;<LOD;1,56;4,98;2,19;<LOD;27,66;<LOD;0,19;<LOD;29,62;<LOD;76,84;3,4;1,32;1031,79;21,06;12,83;6,7;442,93;12,71;57,77;5,19;<LOD;0,57;<LOD;4,82;<LOD;2,66;44,41;4,6;227,11;16,48;152,09;13,65;<LOD;33,02;<LOD;1,5;<LOD;1,5;<LOD;1,5;709,57;22,69;603048,81;2088,4
2202;20.06.2024 11:05;TestAll Geo;330,22;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;263206,44;1082,74;3719,92;41,37;98477,11;1074,18;22013,87;140,74;727,98;37,5;<LOD;1234,41;5594,93;73,49;7404,06;117,62;4314,67;79,41;<LOD;118,17;118,8;6,46;30,27;10,68;99,55;14,43;<LOD;12,07;<LOD;6,86;110,53;2,23;21,54;1,46;15,37;1,43;337,5;3,75;18,85;1,34;11,77;2,7;3,99;0,57;<LOD;2,83;<LOD;1,5;<LOD;1,5;<LOD;4,91;<LOD;27,86;0,27;0,13;<LOD;29,16;<LOD;76,06;<LOD;2,19;958,3;20,22;<LOD;9,68;420,61;12,23;52,08;5;<LOD;0,55;<LOD;4,65;<LOD;2,52;43,5;4,46;220,37;15,87;153,62;13,2;<LOD;34,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;742,54;22,94;585511;2203,24
2203;20.06.2024 11:38;TestAll Geo;330,61;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;241946,39;1457,38;1314,51;25,8;99340,8;1613,35;34341,61;311,87;963,7;76,85;<LOD;2370,62;2283,59;31,97;3051,95;56,16;2702,18;124,81;<LOD;307,98;<LOD;10,26;11,22;4,86;<LOD;46,88;<LOD;23,24;14,56;8,16;122,76;3,43;28,03;2,28;18,03;2,06;411,59;6,96;20,45;1,94;9,93;4,24;<LOD;204,82;<LOD;300000;<LOD;1,5;<LOD;3,64;<LOD;7,33;<LOD;50,85;<LOD;300000;<LOD;300000;<LOD;116,22;<LOD;0,95;627,37;34,47;<LOD;11,08;93,66;14,2;<LOD;8,64;<LOD;0,64;<LOD;8,16;<LOD;4,86;<LOD;8,21;111,92;23,26;47,13;19,04;<LOD;49,71;<LOD;1,5;<LOD;1,5;<LOD;1,5;2821,3;57,98;593208,75;3402,8
2204;20.06.2024 11:47;TestAll Geo;330,54;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;233125,19;1021,57;3670,23;43,35;133253,86;1324,56;36031,64;188,15;1210,94;47,82;<LOD;1296,47;5397,7;77,03;9317,78;136,67;2017,25;63,66;140,97;87,6;141,26;7,09;58,06;11,26;134,51;16,2;<LOD;13,07;50,66;5,59;109,94;2,34;30,05;1,71;16,18;1,51;484,74;4,59;17,77;1,41;11,72;2,88;4,35;0,62;<LOD;3,19;<LOD;1,5;<LOD;1,78;8,01;2,42;<LOD;29,49;0,22;0,14;<LOD;32,23;<LOD;92,99;2,65;1,54;914,38;20,6;<LOD;9,8;391,72;12,39;38,72;5,04;<LOD;0,56;<LOD;5,05;<LOD;2,81;42,58;4,57;223,39;17,01;151,75;14,12;<LOD;37,37;<LOD;1,5;<LOD;1,5;<LOD;1,5;739,38;23,81;566754,06;2449,89
2205;20.06.2024 11:54;TestAll Geo;330,59;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;241036,11;1055,8;3921,54;44,45;134799,22;1333,59;27897,47;164,13;1215,06;46,73;<LOD;1273,87;5728,94;79,14;9785,55;139,27;2177,12;65,26;<LOD;130,9;154;7,25;55,28;11,63;126,71;15,58;<LOD;12,51;38,1;5,05;106,74;2,28;28,12;1,66;16,87;1,49;440,77;4,35;15,64;1,36;12,25;2,83;3,8;0,59;<LOD;3,1;<LOD;1,5;<LOD;1,56;5,45;2,33;<LOD;28,95;0,27;0,14;<LOD;30,51;<LOD;84,64;3,11;1,59;819,45;19,39;<LOD;9,28;370,17;11,75;31;4,77;<LOD;0,53;<LOD;4,73;<LOD;2,64;34,92;4,26;213,05;16,17;130,62;13,31;<LOD;35,49;<LOD;1,5;<LOD;1,5;<LOD;1,5;588,41;23,16;564398,56;2458,19
2206;20.06.2024 12:06;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;239909,72;1039,1;3776,15;41,8;131814,44;1268,57;22666,14;147,52;928,08;42,15;<LOD;1173,3;6086,51;82,68;10171,31;142,94;2138,03;61,63;316,8;97,04;172,14;6,92;24,99;12,09;124,66;15,1;<LOD;12,21;38,22;4,94;118,49;2,38;27,15;1,65;14,46;1,46;429,31;4,3;17,86;1,38;14,26;2,87;2,98;0,57;<LOD;3,17;<LOD;1,5;<LOD;1,5;3,54;2,31;<LOD;29,07;0,35;0,14;<LOD;29,69;<LOD;78,4;3,66;1,67;1187,55;19,97;20,3;6,2;443,88;11,73;48,87;4,72;<LOD;0,52;<LOD;4,44;<LOD;2,39;40,85;4,19;257,92;15,9;160,83;13,04;<LOD;33,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;593,26;21,59;574604,13;2358,56
