Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1087;01.12.2023 10:50;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,78;2,78;193,74;3,11;<LOD;4,86;159,42;3,29;4,74;0,71;27,89;3,48;<LOD;1,98;11,05;2,91;<LOD;31,76;0,48;0,15;125,81;7,51;<LOD;34,65;<LOD;14,04;113,31;16,62;<LOD;100,73;42644,54;210,29;652,96;41,33;177,05;10,58;136,45;6,96;4374,64;45,71;22,24;2,38;17725,55;118,63;25946,32;190,99;339,7;99,37;726,59;26,67;60,56;9,23;492,31;17,51;68,07;7,07;<LOD;0,79;<LOD;7,28;<LOD;4,26;41,6;6,13;298,68;24,45;203,03;20,19;560848,13;2844,92;16,14;1,63;24,42;1,89;<LOD;47,67;<LOD;1,5;<LOD;1,5;<LOD;1,5;151041,53;1630,07;1103,78;67,06;176574,06;903,85;4320,6;47,28;<LOD;1599,91
1088;01.12.2023 11:07;TestAll Geo;330,26;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;198,19;3,33;303,26;3,69;<LOD;3,68;55,53;2,07;3,02;0,6;36,2;3,51;<LOD;1,77;8,96;2,88;<LOD;28,39;0,4;0,14;51,52;5,46;<LOD;30,6;37,09;8,24;<LOD;27,11;<LOD;88,85;30560,57;170,99;437,71;34,6;13,74;8,33;123,02;5,54;3824,49;36,56;2,07;1,38;8020,44;70,23;9635,6;106,65;120,05;66,89;927,29;26,08;31,83;8,54;467,74;16,25;52,14;6,5;<LOD;0,73;<LOD;6,48;<LOD;3,69;45,72;5,84;258,92;21,66;149,9;17,65;571984,5;2194,93;12,25;1,46;20,17;1,51;<LOD;37,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;74284,57;964,07;4955,78;86,36;283940,16;1122,91;2235,48;31,56;<LOD;1346,01
1089;01.12.2023 11:15;TestAll Geo;330,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;222,7;3,57;294,41;3,75;<LOD;3,95;60,42;2,18;2,4;0,6;32,13;3,51;<LOD;1,82;10,53;2,94;<LOD;30,38;0,45;0,15;49,81;5,69;<LOD;33,92;<LOD;14,52;<LOD;29,76;<LOD;78,52;32748,36;182,78;463,29;36,73;33,2;7,43;122,84;5,6;3870,88;37,45;<LOD;1,73;6304,46;59,12;7819,19;92,2;<LOD;146,02;1151,99;29,62;79,53;9,57;519,47;18,16;82,87;7,39;1,05;0,55;<LOD;7,11;<LOD;4,18;45,99;6,38;288,08;23,99;183,16;19,69;598220;2151,58;11,23;1,49;22,22;1,6;<LOD;37,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;70392,32;927,87;4430,24;83;261938,58;1074,04;1780,07;29,23;<LOD;1343,42
1090;01.12.2023 11:26;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;246,2;3,98;314,89;4,14;<LOD;4,31;68,19;2,5;4,38;0,73;48,22;4,21;<LOD;2,16;14,06;3,54;<LOD;34,38;0,41;0,16;57,04;6,43;<LOD;37,79;31,68;9,76;73,84;17,93;118,73;61,45;38941,75;212,87;554,81;41,76;19,96;6,06;110,91;5,49;2490,3;33,61;<LOD;1,43;5207,9;48,93;6936,27;79,41;<LOD;164,26;1176,86;32,87;100,5;10,7;549,03;20,36;84,35;8,2;<LOD;0,9;<LOD;8,22;<LOD;4,75;47,97;7,11;299,93;27,19;185,21;22,24;596680,69;2338,17;11,54;1,64;26,44;1,82;<LOD;45,92;<LOD;1,5;<LOD;1,5;<LOD;1,5;72468,87;1018,97;3144,71;81,62;255778,94;1171,3;1991,78;33,48;<LOD;1486,14
1091;01.12.2023 11:44;TestAll Geo;330,65;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;361,83;4,2;389,89;4,15;<LOD;3,79;47,45;2,01;4,77;0,65;33,5;3,46;<LOD;1,71;7,33;2,82;<LOD;29,7;0,42;0,15;97,38;6,49;<LOD;31,84;69,5;9,06;<LOD;28;<LOD;84,62;27484,01;161,73;392,41;33,55;32,27;7,24;125,53;5,7;6049,12;46,18;2,3;1,04;5413,92;52,46;8797,06;90,92;<LOD;131,02;637,36;24,54;<LOD;12,23;385,14;15,55;34,46;6,3;<LOD;0,7;<LOD;6,65;<LOD;3,86;34,71;5,59;270,96;22,17;160,94;18,06;619200,38;2093,12;32,25;1,75;79,25;2,19;<LOD;39,91;<LOD;1,5;<LOD;1,5;<LOD;1,5;86334,45;994,48;649,21;50,99;234297,84;1012,42;664,34;22,5;<LOD;1195,87
1092;01.12.2023 11:52;TestAll Geo;330,47;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;371,99;4,21;374,29;4,04;<LOD;3,78;46,72;1,99;4,91;0,65;27,74;3,3;<LOD;1,67;7,35;2,69;<LOD;28,35;0,35;0,14;90,97;6,28;<LOD;30,84;85,74;9,18;<LOD;26,68;<LOD;80,3;25239,46;154,16;370,76;32,73;62,53;8,23;132,78;5,94;6437,53;48,55;<LOD;1,73;6060,25;58,69;10033,28;101,82;<LOD;130,35;749,4;24,32;<LOD;11,98;395,07;15,12;40,04;6,16;<LOD;0,68;<LOD;6,41;<LOD;3,51;37,4;5,46;293,13;21,44;172,19;17,4;607403;2153,74;33,01;1,74;76,08;2,14;<LOD;39,44;<LOD;1,5;<LOD;1,5;<LOD;1,5;91916,84;1031,26;817,59;51,49;241513,5;1021,04;646,34;22,22;<LOD;1206,44
1093;01.12.2023 12:17;TestAll Geo;330,1;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;298,54;4,04;364,48;4,16;<LOD;3,82;44,3;2,05;4,71;0,67;23,08;3,3;<LOD;1,93;5,47;2,67;<LOD;30,56;0,31;0,15;81,35;6,36;<LOD;33,81;54,63;9,36;63,28;15,99;70,56;45,87;24442,85;158,28;346,2;33,34;14,19;6,12;129,47;5,81;4122,1;38,7;<LOD;1,28;4440,39;43,8;7029,22;76,08;<LOD;161,07;564,03;25,9;<LOD;12,82;344,18;16,32;22,28;6,63;<LOD;0,73;<LOD;7,3;<LOD;4,24;37,74;6,06;232,29;23,26;137,9;19,04;590199,81;2329,61;28,01;1,77;69,2;2,16;<LOD;40,72;<LOD;1,5;<LOD;1,5;<LOD;1,5;82926,12;1069,43;573,58;60,04;269991,72;1199,14;826,77;27,79;<LOD;1422,91
1094;01.12.2023 12:36;TestAll Geo;330,16;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;410,34;4,63;358,5;4,21;<LOD;4,05;56,08;2,25;4,35;0,7;51,77;4,13;<LOD;1,97;24,22;3,62;<LOD;31,58;0,44;0,16;165,82;8,33;<LOD;35,04;82,55;10,07;63,27;16,37;<LOD;97,23;37524,04;199,23;523,63;39,18;58,8;8,19;199,71;7,03;5499,4;49,32;<LOD;2,51;12784,39;86,8;14604,9;127,18;193,32;72,19;814,59;27,16;<LOD;13,37;433,6;17,01;49,95;6,88;<LOD;0,76;<LOD;7,35;<LOD;4,29;34,19;5,95;356,54;25,43;188,76;20,23;641416;2328,65;37,57;1,97;116,85;2,76;<LOD;43,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;58869,05;966,71;10218,24;130,77;201427,56;960,13;1796,63;33,43;<LOD;1583,01
1095;01.12.2023 12:45;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;436,24;4,74;319,32;4;<LOD;4,06;50,24;2,13;3,93;0,67;32,96;3,67;<LOD;1,9;19,1;3,22;<LOD;30,84;0,39;0,16;126,49;7,53;<LOD;34,65;60,52;9,51;96,02;16,64;<LOD;91,97;30095,35;179,61;504,58;38,47;75,06;8,5;181,13;6,66;5827,73;48,91;<LOD;2,27;10399,31;79,84;15812,03;131,98;175,7;71,91;1199,77;28,09;90,53;9,03;478,65;16,74;75,32;6,86;<LOD;0,75;<LOD;6,99;<LOD;4,06;36,64;5,79;432,96;25,34;284,4;20,61;637032,19;2168,17;35,3;1,91;105,32;2,59;<LOD;40,84;<LOD;1,5;<LOD;1,5;<LOD;1,5;71759,55;982,76;8967,21;116,07;204873,86;963,34;1472,35;29,38;<LOD;1426,15
1096;01.12.2023 12:57;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;414,9;4,44;276,57;3,59;<LOD;3,97;58,29;2,17;4,95;0,67;22,63;3,25;<LOD;1,81;7,8;2,68;<LOD;30,5;0,4;0,15;162,95;7,93;<LOD;33,58;36,04;8,53;97,58;15,84;<LOD;91,29;33345,32;181,64;391,73;34,97;100,18;9,14;153,04;6,54;6613,08;51,36;1,94;1,2;5398,64;61,43;13439,07;124,62;<LOD;133,3;886,86;25,18;<LOD;12,12;408,05;15,33;36,99;6,16;<LOD;0,68;<LOD;6,52;<LOD;3,76;40,72;5,56;342,63;22,75;210,06;18,46;592368;2242,2;37,34;1,88;111,09;2,56;<LOD;41,31;<LOD;1,5;<LOD;1,5;<LOD;1,5;96111,77;1083,23;2338,29;65,4;239936,11;1011,62;798,88;23,45;<LOD;1262,15
