Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1515;09.01.2024 16:55;TestAll Geo;330,76;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;107,68;2,78;208,86;3,19;<LOD;4,99;163,14;3,32;5,64;0,73;26,31;3,42;<LOD;1,92;13,42;2,91;<LOD;31,43;0,32;0,15;174,86;8,36;<LOD;34,83;35,48;8,8;109,34;16,41;<LOD;101,36;44046,28;211,77;647,43;40,85;208,9;11,56;140,01;7,37;4661,51;48,64;25,92;2,82;22964,61;140,69;28966,54;211,88;512,33;113,31;578,07;25,39;<LOD;13,25;439,09;16,78;51,88;6,8;<LOD;0,76;<LOD;6,94;<LOD;4,13;37,39;5,94;260,23;23,01;169,28;18,95;520728,84;3110,58;16,78;1,62;24,49;1,89;<LOD;48,36;<LOD;1,5;<LOD;1,5;<LOD;1,5;165023,42;1795,11;1878,59;78,23;190685;950,12;6899,49;61,26;<LOD;1775,09
1516;18.01.2024 10:57;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;109,85;2,78;207,06;3,17;<LOD;4,89;160,42;3,26;4,84;0,71;30,28;3,52;<LOD;1,98;9,2;2,89;<LOD;31,91;0,27;0,15;162,94;8,12;<LOD;34,78;<LOD;14,14;114,63;16,37;<LOD;100,5;43874,93;210,62;616,72;40,25;212,94;11,72;133,03;7,38;4684,24;48,83;28,48;2,85;22924,47;141,45;29315,87;214,24;478,76;113,53;657,04;26,04;33,11;9,02;456,6;17,06;62,22;6,96;<LOD;0,78;<LOD;6,93;<LOD;4,08;43,83;6,12;272,92;23,13;164,33;18,89;518076,06;3094,01;14,8;1,59;25,69;1,89;<LOD;47,29;<LOD;1,5;<LOD;1,5;<LOD;1,5;168230,59;1791,27;1891,53;77,41;190449,22;928,13;6771,76;59,96;<LOD;1719,55
1517;18.01.2024 11:26;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;300,33;3,58;76,3;1,92;<LOD;3,21;42,23;1,85;4,73;0,61;18,12;2,93;<LOD;1,6;4,62;2,36;<LOD;28,24;0,3;0,13;23,24;4,57;<LOD;29,99;<LOD;13;98,81;14,85;<LOD;85,58;30292,84;165,7;324,06;31,62;188,64;10,21;127,52;6,51;6588,92;51,64;1,54;0,82;1584,74;38,02;6179,6;92,57;<LOD;131,39;638,58;23,12;<LOD;11,46;356,19;14,42;24,56;5,84;<LOD;0,65;<LOD;6,24;<LOD;3,51;25,87;5,09;266,88;20,89;159,93;17,04;590925,75;2307,55;22,78;1,55;31,05;1,57;<LOD;37,13;<LOD;1,5;<LOD;1,5;<LOD;1,5;120469,41;1211,53;5231,84;85,88;230035,27;983,01;486,93;21,81;<LOD;1236,3
1518;18.01.2024 11:33;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;259,44;3,53;29,68;1,41;<LOD;3,25;40,01;1,9;6,02;0,68;15,77;3,05;<LOD;1,99;4,16;2,46;<LOD;29,71;0,29;0,14;13,57;4,79;<LOD;32,1;<LOD;14,29;92,35;16,41;<LOD;90,57;44223,84;211,7;211,65;32,39;130,57;8,53;113,19;6,75;5833,94;52,71;0,99;0,6;689,65;26,81;4151,13;75,82;149,58;62,02;287,16;24,7;<LOD;13,55;422,31;17,38;48,45;7,07;<LOD;0,79;<LOD;7,13;<LOD;4,15;42,21;6,31;216,35;22,64;137,15;18,68;612253,44;2305,77;21,92;1,63;23,05;1,54;<LOD;42,67;<LOD;1,5;<LOD;1,5;<LOD;1,5;113085,32;1219,13;2767,38;73,17;207842,67;978,96;600,08;23,88;<LOD;1290,08
1519;18.01.2024 11:47;TestAll Geo;330,3;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;263,37;3,65;33,15;1,51;<LOD;3,43;40,84;1,98;5,18;0,67;15,79;3,11;<LOD;2,05;6,25;2,58;<LOD;31,65;0,44;0,15;10,46;4,93;<LOD;34,82;26,51;9,1;92,63;17,06;<LOD;104,99;45118,15;219,7;251,89;34,21;125,01;7,92;111,58;6,78;5299,45;48,12;<LOD;0,81;658,89;24,82;3831,09;70,04;224,79;59,77;374,78;33,08;<LOD;10,97;273,24;14,16;<LOD;8,78;<LOD;0,64;<LOD;8,3;<LOD;4,99;27,55;5,27;151,57;24,19;107,16;20,31;548139,44;2878,44;23,95;1,69;22,44;1,58;<LOD;42,19;<LOD;1,5;<LOD;1,5;<LOD;1,5;137578,36;1565,49;7906,6;123,55;241182,09;1126,88;771,29;30,52;<LOD;1681,33
1520;18.01.2024 12:19;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;285,51;4,2;34,57;1,71;<LOD;3,84;45,99;2,29;6,26;0,79;14,52;3,46;<LOD;2,64;7,39;2,9;<LOD;37,52;<LOD;0,25;13,44;5,95;<LOD;43,22;24,92;10,92;95,07;20,25;<LOD;122,25;54949,07;269,18;208,75;38,52;89,35;5,98;100,94;6,61;3787,39;35,72;<LOD;0,63;538,49;19,14;2631;53,47;114,03;45,35;81,02;26,89;<LOD;14,83;324,22;19;17,45;7,75;<LOD;0,87;<LOD;8,96;<LOD;5,31;28,28;6,91;183,23;26,79;113,05;22,14;619087,31;2614,3;24,8;1,91;25,7;1,83;<LOD;50,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;106208,24;1337,3;2172,06;83,78;199573,39;1071,14;936,63;31,97;<LOD;1603,61
1521;18.01.2024 12:29;TestAll Geo;330,55;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;301,13;3,86;34,14;1,52;<LOD;3,34;39,93;1,95;5,73;0,69;17,36;3,17;<LOD;1,96;4,91;2,58;<LOD;31,55;0,4;0,15;19,39;5,25;<LOD;34,69;36,09;9,19;101,29;16,99;<LOD;106,35;49014,91;228,52;274,79;35,6;125,71;8,75;114,12;6,78;5620,67;51,08;<LOD;0,9;619,31;26,53;3398,67;73,92;188,62;66,09;652,28;28,06;108,17;10,13;547,33;19,24;84,09;7,75;0,95;0,57;<LOD;7,37;<LOD;4,26;49,84;6,76;324,89;25,42;195,26;20,62;648902,75;2227,79;22,14;1,68;23,06;1,59;<LOD;43,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;100779,73;1138,49;2158,69;67,01;181735,27;893,17;721,99;23,89;<LOD;1221,6
1522;18.01.2024 12:36;TestAll Geo;330,43;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;238,02;3,58;227,83;3,3;<LOD;3,37;30,18;1,76;5,29;0,66;16,7;3,06;<LOD;1,84;<LOD;5,1;<LOD;29,51;0,46;0,15;15,13;4,77;<LOD;33,67;<LOD;13,41;87,13;15,84;<LOD;97,24;37646,56;194,53;275,27;33,19;149,74;10,62;353,31;8,08;5884,91;49,92;3,55;1,4;6315,63;67,06;7038,61;100,34;859,36;92,2;2315,41;31,7;<LOD;11,98;353,49;15;20,95;6,04;<LOD;0,67;<LOD;6,48;<LOD;3,7;28,22;5,36;207,8;21,65;116,37;17,72;572940,31;2340,97;17,42;1,56;24,88;1,54;<LOD;40,85;<LOD;1,5;<LOD;1,5;<LOD;1,5;92778,74;1127,32;3230,96;79,18;261897,98;1104,99;464,24;23,74;<LOD;1381,36
1523;18.01.2024 12:47;TestAll Geo;330,11;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;261,73;3,91;246,08;3,59;<LOD;3,68;34,6;1,94;7,36;0,76;19,51;3,34;<LOD;2,05;5,26;2,7;<LOD;31,94;0,53;0,16;18,2;5,27;<LOD;36,15;<LOD;14,91;139,79;17,66;<LOD;107,03;45996,33;225,46;526,89;41,05;131,49;9,45;166,27;6,58;5196,32;46,21;1,83;1,12;4235,33;55,19;6890;97,18;333,06;74,86;3424,86;38,43;90,74;9,35;494,87;17,35;63,53;6,94;<LOD;0,77;<LOD;6,93;<LOD;4,06;36,13;5,97;288,72;24,67;175,34;20,18;593067,38;2322,36;18,37;1,68;24,3;1,63;<LOD;47,71;<LOD;1,5;<LOD;1,5;<LOD;1,5;95602,32;1122,02;1498,84;61,09;235674,28;1050,56;656,26;23,59;<LOD;1315,56
1524;18.01.2024 12:54;TestAll Geo;330,42;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;238,1;3,63;228,61;3,35;<LOD;3,57;34,51;1,88;7,04;0,72;14,57;3,04;<LOD;1,68;4,88;2,46;<LOD;28,98;0,52;0,15;21,18;5;<LOD;32,16;36,16;8,52;131,57;16,34;<LOD;100,41;42290,54;208,76;615,93;40,51;180,83;11,66;129,86;6,36;5282,25;46,52;3,53;1,33;4692,09;65,31;9091,87;122,58;216,94;84,56;2905,79;32,97;28,38;8,16;421,65;15,12;43,53;6,1;<LOD;0,67;<LOD;6,14;<LOD;3,48;39,84;5,45;240,72;21,12;168,09;17,56;588693,63;2251,53;19,69;1,62;21,18;1,52;<LOD;44,26;<LOD;1,5;<LOD;1,5;<LOD;1,5;97852,73;1092,49;1210,65;53,82;241586,41;1025,12;466,84;20,95;<LOD;1215,27
