Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Sc;Sc Error;Ca;Ca Error;K;K Error;S;S Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;Mg;Mg Error
1400;19.12.2023 11:13;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;106,28;2,74;202,82;3,13;<LOD;4,92;161,31;3,28;5,61;0,73;28,61;3,47;<LOD;2;12,76;2,93;<LOD;31,3;0,38;0,15;159,31;8,04;<LOD;34,77;<LOD;14,03;123,98;16,46;<LOD;100,14;43642,19;209,66;654,95;40,7;209,7;11,79;139,44;7,41;4600,45;48,46;26,29;2,81;22165,49;140,04;29079,81;214,52;348,1;110,46;672,26;26,03;39,22;9,01;473,13;17,14;56,77;6,88;<LOD;0,77;<LOD;6,98;<LOD;4,07;40,3;6,03;261,09;23,11;161,92;18,96;539822,69;2983,47;16,26;1,61;23,97;1,87;<LOD;48,16;<LOD;1,5;<LOD;1,5;<LOD;1,5;156157,56;1705,5;1644,1;74,67;182651,41;913,97;6630,75;59,26;<LOD;1711,06
1401;19.12.2023 11:18;TestAll Geo;223,17;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;221,36;3,29;176,98;2,81;<LOD;3,35;38,31;1,82;4,87;0,62;16,06;2,89;<LOD;1,65;5,71;2,37;<LOD;28,26;0,21;0,13;49,29;5,37;<LOD;30,66;<LOD;13,38;<LOD;27,34;<LOD;91,29;35522,49;180,92;416,62;34,02;125,53;9,2;110,59;6,18;5691,44;47,28;3,74;1,21;5317,41;58,17;3871,11;76,01;<LOD;506,07;431,56;23;<LOD;12,01;383,13;15,28;31,72;6,18;<LOD;0,69;<LOD;6,53;<LOD;3,76;34,34;5,49;243,67;21,5;136,5;17,49;649982,44;5869,53;22,52;1,56;29,83;1,56;<LOD;38,1;<LOD;1,5;<LOD;1,5;<LOD;1,5;90056,55;3609,48;651,04;198,46;199488,44;2367,33;603,98;86,53;<LOD;4474,99
1402;19.12.2023 11:24;TestAll Geo;330,32;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;380,38;4,11;96,51;2,2;<LOD;3,25;34,24;1,79;5,28;0,65;18,03;3,06;<LOD;1,77;6,02;2,5;<LOD;29,88;0,41;0,15;16,55;4,68;<LOD;32,04;<LOD;13,53;134,26;16,19;<LOD;93,92;37042,1;189,71;903,56;43,53;182,14;10,24;120,06;6,83;6794,85;54,25;1,96;0,94;2215,69;44,58;7071,19;101,25;<LOD;136,89;705,07;24,68;30,72;8,45;455,42;16;55,6;6,46;<LOD;0,71;<LOD;6,62;<LOD;3,83;39,12;5,65;293,65;22,41;182,88;18,33;620855,88;2150,83;24,96;1,63;33,4;1,64;<LOD;39,51;<LOD;1,5;<LOD;1,5;<LOD;1,5;94485,2;1080,02;747,05;52,97;221688,33;988,01;484,78;22,54;<LOD;1224,52
1403;19.12.2023 11:44;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;320,09;3,8;104,78;2,26;<LOD;3,17;33,75;1,75;4,63;0,62;14,4;2,9;<LOD;1,69;6,57;2,4;<LOD;29,44;0,37;0,14;12,9;4,56;<LOD;32,23;<LOD;13,13;104,53;15,58;<LOD;94,47;37420,74;189,28;979,34;44,35;218,52;11,51;143,21;7,35;7478,94;58,29;2,77;1,14;3143,85;54,5;7990,35;113,2;<LOD;117,26;683,18;23,38;<LOD;11,9;436,56;15,08;45,43;6,05;<LOD;0,67;<LOD;6,47;<LOD;3,69;34,75;5,28;295,53;22,09;192,72;18,16;616473,06;2185,23;22,74;1,59;33,15;1,62;<LOD;37,95;<LOD;1,5;<LOD;1,5;<LOD;1,5;104730,93;1138,44;1301,52;57,15;212751,22;951,28;387,82;21,48;<LOD;1212,63
1404;19.12.2023 11:51;TestAll Geo;330,53;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;368,3;4,71;106,03;2,66;<LOD;4,03;49,79;2,37;5,37;0,76;13,72;3,43;<LOD;2,6;10,72;2,96;<LOD;38,16;<LOD;0,25;33,37;6,44;<LOD;43,15;29,81;10,95;137,94;20,91;<LOD;109,33;50070,21;255,66;1131,27;55,24;143,06;7,44;148,23;8,21;4760,53;45,74;<LOD;1,01;1614,81;32,99;5643,6;79,01;<LOD;199,23;234,82;26,85;<LOD;13,97;293,04;17,84;<LOD;10,83;<LOD;0,8;<LOD;8,59;<LOD;5,16;21,97;6,43;197,22;26,74;120,19;22,04;608690,25;2674,9;28,44;1,95;35,55;1,98;<LOD;47,66;<LOD;1,5;<LOD;1,5;<LOD;1,5;100999,85;1343,36;500,9;71,79;211611,92;1111,08;791,78;32,97;<LOD;1713,24
1405;19.12.2023 11:59;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;435,71;4,34;60,81;1,82;<LOD;3,13;28,97;1,69;3,49;0,59;12,78;2,84;<LOD;1,5;15,86;2,59;<LOD;28,36;0,24;0,14;24,67;4,98;<LOD;30,93;30,3;8,13;<LOD;27;<LOD;97,47;42809,54;204,51;618,35;39,22;125,82;10,72;113,13;6,41;5943,22;49,11;1,91;0,98;2104,04;45,17;5219,5;92,99;<LOD;111,12;497,96;23,01;<LOD;12,23;430;15,43;52,54;6,29;<LOD;0,7;<LOD;6,12;<LOD;3,46;47,42;5,67;254,43;20,21;164,62;16,63;602962,94;2228,51;20,92;1,57;32,53;1,61;<LOD;36,06;<LOD;1,5;<LOD;1,5;<LOD;1,5;110938,36;1140,72;13043,01;126,63;210480,25;910,83;472,02;19,97;<LOD;1249,38
1406;19.12.2023 12:08;TestAll Geo;330,38;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;444,34;5,14;60,58;2,13;<LOD;3,71;32,16;2,04;4,21;0,72;12,34;3,39;<LOD;2,57;21,98;3,25;<LOD;37,85;0,27;0,17;26,56;6,5;<LOD;44,31;36,75;11,33;99,3;20,65;<LOD;124,4;58264,05;279,43;656,44;48,43;69,52;6,3;117,01;6,97;3443,41;37,4;1,22;0,57;1173,17;25,92;2426,8;55,25;<LOD;189,52;<LOD;38,71;<LOD;14,07;257,14;17,81;<LOD;10,97;<LOD;0,81;<LOD;8,61;<LOD;5,25;24,09;6,61;154,91;25,95;122,06;21,91;587503,94;2737,96;22,52;1,89;38,43;1,99;<LOD;45,18;<LOD;1,5;<LOD;1,5;<LOD;1,5;107723,4;1373,05;9851,82;135,92;218944,08;1113,19;1329,56;34,27;<LOD;1711,64
1407;19.12.2023 12:19;TestAll Geo;330,01;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;383,36;6,34;57,51;2,31;<LOD;300000;27,79;2,15;<LOD;192,75;<LOD;5,61;<LOD;2,99;20,08;4,99;<LOD;42,73;<LOD;300000;18,82;7,64;<LOD;300000;<LOD;21,12;<LOD;42,78;<LOD;135,26;57733,2;399,86;458,84;60,72;35,86;4,62;73,98;6,24;2018,81;25,2;<LOD;0,58;750,37;18,03;1497,9;40,88;<LOD;227,9;355,69;38,77;<LOD;15,64;256,9;20,13;<LOD;12,23;<LOD;0,92;<LOD;9,93;<LOD;5,97;29,02;7,63;115,19;27,91;66,08;23,2;596150,06;2907,06;19,63;1,99;29,34;1,99;<LOD;47,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;89387,07;1358,35;6864,81;131,71;235447,44;1278,05;1353,21;39,86;<LOD;1978,4
1408;19.12.2023 12:27;TestAll Geo;330,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;333,04;4,04;319,47;3,79;<LOD;3,68;42,16;1,95;4,86;0,65;26,48;3,27;<LOD;1,55;4,41;2,62;<LOD;27,61;0,26;0,14;82,31;6,3;<LOD;30,93;<LOD;12,6;94,34;15,1;<LOD;97,97;43419,51;203,86;252,59;32,3;133,82;12,99;129,85;6,85;6603,96;53,5;1,57;1,02;1207,55;40,89;10578,25;133,67;<LOD;113,68;617,95;21,51;<LOD;10,74;376,41;13,63;34,38;5,55;<LOD;0,61;<LOD;5,67;<LOD;3,14;39,5;5,01;241,43;19,03;141,48;15,54;527063,56;2486,37;21,43;1,58;23,36;1,53;<LOD;40,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;142027,09;1345,92;1144,36;49,84;261760,92;1059,7;253,82;18,24;<LOD;1199,46
1409;19.12.2023 12:41;TestAll Geo;330,3;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;366,63;4,28;254,35;3,51;<LOD;3,48;30,02;1,78;4,63;0,66;33,54;3,56;<LOD;1,71;7,02;2,91;<LOD;28,68;0,26;0,14;92,08;6,94;<LOD;32,15;<LOD;13,42;88,21;16,29;<LOD;112,16;61096,5;249,69;244,46;35,11;156,84;12,41;115,75;7,3;7287,75;58,22;<LOD;1,42;1155,92;38,79;5362,78;100,21;<LOD;120,93;398,41;21,95;<LOD;11,51;377,93;14,66;28,96;5,91;<LOD;0,66;<LOD;6,19;<LOD;3,5;39,72;5,39;224,28;20,26;130,82;16,59;555196,25;2413,69;23,41;1,65;25,31;1,57;<LOD;41,5;<LOD;1,5;<LOD;1,5;<LOD;1,5;129117,12;1285,54;1285,53;53,01;236700,5;980,87;436,11;19,87;<LOD;1215,52
1410;19.12.2023 12:48;TestAll Geo;330,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;<LOD;1,5;350,71;4,17;265,24;3,55;<LOD;3,7;38,6;1,94;4,22;0,64;21,38;3,2;<LOD;1,68;6,3;2,62;<LOD;30,43;0,27;0,14;41,01;5,41;<LOD;32,15;<LOD;13,34;98,91;15,59;<LOD;94,42;35825,2;189,73;325,89;34,02;137,13;11,42;132,29;7,14;7995,04;60,4;1,96;0,9;1226,63;40,51;11067,89;131,54;<LOD;122,12;601,17;21,95;<LOD;11,28;384,49;14,03;38,07;5,71;<LOD;0,63;<LOD;6,08;<LOD;3,44;32,42;5;317,59;21,04;198,31;17,15;558584,5;2390,75;22,7;1,62;21,41;1,52;<LOD;39,46;<LOD;1,5;<LOD;1,5;<LOD;1,5;118125,52;1223,76;2889,48;68,1;257235,27;1080,25;402,12;20,6;<LOD;1245,8
